Id,MetricsDate,FlexiPageType,FlexiPageNameOrId,SystemModstamp,RecordCountEPT,TotalCount,MedianEPT,SumEPT,EptBinUnder3,EptBin3To5,EptBin5To8,EptBin8To10,EptBinOver10,CoresBinUnder2,CoresBin2To4,CoresBin4To8,CoresBinOver8,DownlinkBinUnder3,DownlinkBin3To5,DownlinkBin5To8,DownlinkBin8To10,DownlinkBinOver10,RttBinUnder50,RttBin50To150,RttBinOver150
7pVdM0000003tXbUAI,2024-07-23,RecordPage,flexipage__default_rec_L,2024-07-24T03:40:35Z,1,2,1087,1087,1,0,0,0,0,0,0,2,0,1,0,0,1,0,1,0,1
7pVdM0000003u5jUAA,2024-07-23,RecordPage,sfa__Opportunity_rec_L_3col,2024-07-24T03:40:35Z,1,1,3739,3739,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
7pVdM0000003xVAUAY,2024-07-24,UtilityBar,0M0dM000001HdlxSAC,2024-07-25T04:01:34Z,2,4,1183,2367,2,0,0,0,0,0,0,4,0,0,0,0,4,0,4,0,0
7pVdM0000003zqCUAQ,2024-07-24,UtilityBar,0M0dM000001HdlzSAC,2024-07-25T04:01:34Z,0,1,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
7pVdM00000043XyUAI,2024-07-25,UtilityBar,0M0dM000001HdlxSAC,2024-07-26T04:19:10Z,0,1,-1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
7pVdM0000004CbRUAU,2024-07-29,UtilityBar,0M0dM000001HdlxSAC,2024-07-30T04:17:31Z,1,1,850,850,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
7pVdM0000004Ch4UAE,2024-07-29,UtilityBar,0M0dM000001HdlySAC,2024-07-30T04:17:31Z,1,1,3044,3044,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
7pVdM0000004EkyUAE,2024-07-30,HomePage,home__desktopDefault,2024-07-31T04:06:35Z,3,3,911,3602,3,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0
7pVdM0000004FxQUAU,2024-07-30,UtilityBar,0M0dM000001dgEvSAI,2024-07-31T04:06:35Z,7,7,961,8457,7,0,0,0,0,0,0,7,0,0,0,2,5,0,7,0,0
7pVdM0000004G69UAE,2024-07-30,UtilityBar,0M0dM000001HdlySAC,2024-07-31T04:06:35Z,2,2,2169,4339,1,1,0,0,0,0,0,2,0,0,0,0,2,0,2,0,0
7pVdM0000004I61UAE,2024-07-30,RecordPage,flexipage__default_rec_L,2024-07-31T04:06:35Z,1,1,1676,1676,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
7pVdM0000004IjpUAE,2024-07-31,UtilityBar,0M0dM000001HdlySAC,2024-08-01T04:51:07Z,1,4,3115,3115,0,1,0,0,0,0,0,4,0,0,1,0,3,0,4,0,0
7pVdM0000004JOzUAM,2024-07-31,RecordPage,0M0dM000001XtpxSAC,2024-08-01T04:51:07Z,1,1,1911,1911,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
7pVdM0000004LvBUAU,2024-07-31,UtilityBar,0M0dM000001dgEvSAI,2024-08-01T04:51:07Z,0,1,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
7pVdM0000004OJvUAM,2024-08-01,UtilityBar,0M0dM000001HdlySAC,2024-08-02T04:29:43Z,1,2,1688,1688,1,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,0
7pVdM0000004PrMUAU,2024-08-01,RecordPage,0M0dM000001XtpxSAC,2024-08-02T04:29:43Z,1,1,1742,1742,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
7pVdM0000004YQAUA2,2024-08-05,UtilityBar,0M0dM000001HdlySAC,2024-08-06T04:04:31Z,0,1,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
7pVdM0000004hqYUAQ,2024-08-07,UtilityBar,0M0dM000001HdlySAC,2024-08-08T04:26:48Z,0,1,-1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
7pVdM0000004nwFUAQ,2024-08-09,UtilityBar,0M0dM000001HdlySAC,2024-08-10T03:49:51Z,1,1,3612,3612,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
7pVdM0000004sgMUAQ,2024-08-12,RecordPage,0M0dM000001XtpxSAC,2024-08-13T04:13:57Z,1,1,2099,2099,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
7pVdM0000004uLMUAY,2024-08-12,RecordPage,0M0dM000001JlYvSAK,2024-08-13T04:13:57Z,2,6,797,1594,2,0,0,0,0,0,0,6,0,0,0,0,6,0,6,0,0
7pVdM0000004uLNUAY,2024-08-12,UtilityBar,0M0dM000001HdlySAC,2024-08-13T04:13:57Z,0,1,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
7pVdM000000648iUAA,2024-09-09,UtilityBar,0M0dM000001HdlySAC,2024-09-10T03:56:04Z,4,5,2015,7795,4,0,0,0,0,0,0,5,0,0,0,3,2,0,5,0,0
7pVdM0000006ChLUAU,2024-09-12,UtilityBar,0M0dM000001HdlySAC,2024-09-13T05:39:23Z,1,1,1710,1710,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
7pVdM0000006KLOUA2,2024-09-16,UtilityBar,0M0dM000001HdlySAC,2024-09-17T05:16:39Z,2,2,1853,3706,2,0,0,0,0,0,0,2,0,1,0,0,1,0,1,0,1
