Id,MetricsDate,UserId,AppExperience,SystemModstamp
62CdM000000U46eUAC,2024-07-10,005dM000004WE3FQAW,Lightning Experience,1720669362000
62CdM000000UcyzUAC,2024-07-11,005dM000004WE3FQAW,Lightning Experience,1720758082000
62CdM000000V9AWUA0,2024-07-12,005dM000004WE3FQAW,Lightning Experience,1720843260000
62CdM000000WGIFUA4,2024-07-15,005dM000004WE3FQAW,Lightning Experience,1721103201000
62CdM000000Wqd9UAC,2024-07-16,005dM000004WE3FQAW,Lightning Experience,1721191496000
62CdM000000XPmqUAG,2024-07-17,005dM000004WE3FQAW,Lightning Experience,1721278357000
62CdM000000XueZUAS,2024-07-18,005dM000004WE3FQAW,Lightning Experience,1721364634000
62CdM000000YKAXUA4,2024-07-19,005dM000004WE3FQAW,Lightning Experience,1721449525000
62CdM000000ZFsIUAW,2024-07-22,005dM000004WE3FQAW,Lightning Experience,1721706380000
62CdM000000ZqCEUA0,2024-07-23,005dM000004WE3FQAW,Lightning Experience,1721792350000
62CdM000000aIpGUAU,2024-07-24,005dM000004WE3FQAW,Lightning Experience,1721880370000
62CdM000000aktnUAA,2024-07-25,005dM000004WE3FQAW,Lightning Experience,1721965669000
62CdM000000c4beUAA,2024-07-29,005dM000004WE3FQAW,Lightning Experience,1722313362000
62CdM000000cYmmUAE,2024-07-30,005dM000004WE3FQAW,Lightning Experience,1722398795000
62CdM000000d4cXUAQ,2024-07-31,005dM000004WE3FQAW,Lightning Experience,1722486703000
62CdM000000dXfTUAU,2024-08-01,005dM000004WE3FQAW,Lightning Experience,1722570702000
62CdM000000fDxHUAU,2024-08-05,005dM000004WE3FQAW,Lightning Experience,1722916687000
62CdM000000gW9FUAU,2024-08-07,005dM000004WE3FQAW,Lightning Experience,1723090474000
62CdM000000heX6UAI,2024-08-09,005dM000004WE3FQAW,Lightning Experience,1723261510000
62CdM000000j4meUAA,2024-08-12,005dM000004WE3FQAW,Lightning Experience,1723521398000
62CdM000000uF5NUAU,2024-09-05,005dM000004WE3FQAW,Lightning Experience,1725680832000
62CdM000000uGNOUA2,2024-09-06,005dM000004WE3FQAW,Lightning Experience,1725686723000
62CdM000000uqivUAA,2024-09-09,005dM000004WE3FQAW,Lightning Experience,1725945523000
62CdM000000vARmUAM,2024-09-10,005dM000004WE3FQAW,Lightning Experience,1726026734000
62CdM000000vTCNUA2,2024-09-11,005dM000004WE3FQAW,Lightning Experience,1726114711000
62CdM000000vlGSUAY,2024-09-12,005dM000004WE3FQAW,Lightning Experience,1726200840000
62CdM000000vyHUUAY,2024-09-13,005dM000004WE3FQAW,Lightning Experience,1726287278000
