Id,MetricsDate,UserId,AppExperience,SystemModstamp
62CdM000000U46eUAC,2024-07-10,005dM000004WE3FQAW,Lightning Experience,2024-07-11T03:42:42Z
62CdM000000UcyzUAC,2024-07-11,005dM000004WE3FQAW,Lightning Experience,2024-07-12T04:21:22Z
62CdM000000V9AWUA0,2024-07-12,005dM000004WE3FQAW,Lightning Experience,2024-07-13T04:01:00Z
62CdM000000WGIFUA4,2024-07-15,005dM000004WE3FQAW,Lightning Experience,2024-07-16T04:13:21Z
62CdM000000Wqd9UAC,2024-07-16,005dM000004WE3FQAW,Lightning Experience,2024-07-17T04:44:56Z
62CdM000000XPmqUAG,2024-07-17,005dM000004WE3FQAW,Lightning Experience,2024-07-18T04:52:37Z
62CdM000000XueZUAS,2024-07-18,005dM000004WE3FQAW,Lightning Experience,2024-07-19T04:50:34Z
62CdM000000YKAXUA4,2024-07-19,005dM000004WE3FQAW,Lightning Experience,2024-07-20T04:25:25Z
62CdM000000ZFsIUAW,2024-07-22,005dM000004WE3FQAW,Lightning Experience,2024-07-23T03:46:20Z
62CdM000000ZqCEUA0,2024-07-23,005dM000004WE3FQAW,Lightning Experience,2024-07-24T03:39:10Z
62CdM000000aIpGUAU,2024-07-24,005dM000004WE3FQAW,Lightning Experience,2024-07-25T04:06:10Z
62CdM000000aktnUAA,2024-07-25,005dM000004WE3FQAW,Lightning Experience,2024-07-26T03:47:49Z
62CdM000000c4beUAA,2024-07-29,005dM000004WE3FQAW,Lightning Experience,2024-07-30T04:22:42Z
62CdM000000cYmmUAE,2024-07-30,005dM000004WE3FQAW,Lightning Experience,2024-07-31T04:06:35Z
62CdM000000d4cXUAQ,2024-07-31,005dM000004WE3FQAW,Lightning Experience,2024-08-01T04:31:43Z
62CdM000000dXfTUAU,2024-08-01,005dM000004WE3FQAW,Lightning Experience,2024-08-02T03:51:42Z
62CdM000000fDxHUAU,2024-08-05,005dM000004WE3FQAW,Lightning Experience,2024-08-06T03:58:07Z
62CdM000000gW9FUAU,2024-08-07,005dM000004WE3FQAW,Lightning Experience,2024-08-08T04:14:34Z
62CdM000000heX6UAI,2024-08-09,005dM000004WE3FQAW,Lightning Experience,2024-08-10T03:45:10Z
62CdM000000j4meUAA,2024-08-12,005dM000004WE3FQAW,Lightning Experience,2024-08-13T03:56:38Z
62CdM000000uF5NUAU,2024-09-05,005dM000004WE3FQAW,Lightning Experience,2024-09-07T03:47:12Z
62CdM000000uGNOUA2,2024-09-06,005dM000004WE3FQAW,Lightning Experience,2024-09-07T05:25:23Z
62CdM000000uqivUAA,2024-09-09,005dM000004WE3FQAW,Lightning Experience,2024-09-10T05:18:43Z
62CdM000000vARmUAM,2024-09-10,005dM000004WE3FQAW,Lightning Experience,2024-09-11T03:52:14Z
62CdM000000vTCNUA2,2024-09-11,005dM000004WE3FQAW,Lightning Experience,2024-09-12T04:18:31Z
62CdM000000vlGSUAY,2024-09-12,005dM000004WE3FQAW,Lightning Experience,2024-09-13T04:14:00Z
62CdM000000vyHUUAY,2024-09-13,005dM000004WE3FQAW,Lightning Experience,2024-09-14T04:14:38Z
62CdM000000wZgNUAU,2024-09-16,005dM000004WE3FQAW,Lightning Experience,2024-09-17T04:33:52Z
