Id,Name,SobjectType,Active,CreatedById,CreatedDate,LastModifiedById,LastModifiedDate,SystemModstamp
01QdM0000011e1HUAQ,Standard,Case,True,005dM000004WE3FQAW,2024-07-10T05:50:30Z,005dM000004WE3FQAW,2024-07-10T05:50:30Z,2024-07-10T05:50:30Z
01QdM0000011e1GUAQ,Standard,Lead,True,005dM000004WE3FQAW,2024-07-10T05:50:30Z,005dM000004WE3FQAW,2024-07-10T05:50:30Z,2024-07-10T05:50:30Z
