Id,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,SearchTerm,QueryDate,CountQueries,CountUsers,AvgNumResults,Period,QueryLanguage,ClickRank
06hdM0000033IwLQAU,False,00000006,2024-07-10T05:50:30Z,005dM000004WWvKQAW,2024-07-10T05:50:30Z,005dM000004WWvKQAW,2024-07-10T05:50:30Z,environment,2022-01-01,1,1,0.0,YEAR,en_US,
06hdM0000033IwOQAU,False,00000005,2024-07-10T05:50:30Z,005dM000004WWvKQAW,2024-07-10T05:50:30Z,005dM000004WWvKQAW,2024-07-10T05:50:30Z,trialforce,2022-01-01,1,1,0.0,YEAR,en_US,
