Id,Name,DeveloperName,NamespacePrefix,SobjectType,IsSoqlCompatible,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastViewedDate,LastReferencedDate
00BdM000009f4IAUAY,All Buyer Group Related Objects,AllBuyerGroupRelatedObjects,,BuyerGroupRelatedObject,True,1720590630000,005dM000004WWvKQAW,1720590630000,005dM000004WWvKQAW,1720590630000,,
00BdM000009f4JdUAI,My Contacts,MyContacts,,,False,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,,
00BdM000009f4JoUAI,All Users,AllUsers,,,False,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,,
00BdM000009f4JyUAI,All,AllCalShareDetails,,,False,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,,
00BdM000009f4JIUAY,All,AllCampaignSharing,,,False,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,,
00BdM000009f4JuUAI,All,AllCampaignShareDetails,,,False,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,,
00BdM000009ePv6UAE,All Card Payment Methods,CardPaymentMethod,,CardPaymentMethod,True,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,,
00BdM000009f4JtUAI,All,AllcaseShareDetails,,,False,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,,
00BdM000009f4IKUAY,Active Groups,All_ChatterGroups,,CollaborationGroup,True,1720590630000,005dM000004WWvLQAW,1720590630000,005dM000004WWvLQAW,1720590630000,,
00BdM000009f4ILUAY,My Groups,My_ChatterGroups,,CollaborationGroup,True,1720590630000,005dM000004WWvLQAW,1720590630000,005dM000004WWvLQAW,1720590630000,,
00BdM000009f4IMUAY,My Archived Groups,My_ArchivedChatterGroups,,CollaborationGroup,True,1720590630000,005dM000004WWvLQAW,1720590630000,005dM000004WWvLQAW,1720590630000,,
00BdM000009f4INUAY,Recently Viewed Groups,My_RecentChatterGroups,,CollaborationGroup,True,1720590630000,005dM000004WWvLQAW,1720590630000,005dM000004WWvLQAW,1720590630000,,
00BdM000009f4KUUAY,All Clean Rules,CleanRule_AllCleanRules,,CleanRule,True,1720590630000,005dM000004WWvKQAW,1720590630000,005dM000004WWvKQAW,1720590630000,,
