Id,DomainType,Domain,OptionsHstsPreload,CnameTarget,HttpsOption,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp
0I4dM000001SpNESA0,DNS,mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce-sites.com,True,,SitesAlt,2024-07-10T05:54:57Z,005dM000004WE3FQAW,2024-07-10T05:54:57Z,005dM000004WE3FQAW,2024-07-10T05:54:57Z
0I4dM000001SpNDSA0,DNS,mindful-narwhal-38mkxl-dev-ed.trailblaze.my.site.com,True,,CommunityAlt,2024-07-10T05:54:57Z,005dM000004WE3FQAW,2024-07-10T05:54:57Z,005dM000004WE3FQAW,2024-07-10T05:54:57Z
