Id,MetricsDate,PageName,Browser,SystemModstamp,RecordCountEPT,TotalCount,SumEPT,EptBinUnder3,EptBin3To5,EptBin5To8,EptBin8To10,EptBinOver10
3mKdM000000DqVWUA0,2024-07-10,Properti__c Record,CHROME,2024-07-11T03:43:57Z,4,10,3891,4,0,0,0,0
3mKdM000000Dr9gUAC,2024-07-10,Opportunity Record List,CHROME,2024-07-11T03:43:57Z,1,1,1062,1,0,0,0,0
3mKdM000000DrGzUAK,2024-07-10,Contact sfa:inspectionDesktopObjectHome,CHROME,2024-07-11T03:43:57Z,0,3,0,0,0,0,0,0
3mKdM000000DsH0UAK,2024-07-10,Properti__c Record List,CHROME,2024-07-11T03:43:57Z,5,6,4373,5,0,0,0,0
3mKdM000000DuKbUAK,2024-07-10,Opportunity sfa:inspectionDesktopObjectHome,CHROME,2024-07-11T03:43:57Z,0,1,0,0,0,0,0,0
3mKdM000000DuusUAC,2024-07-10,trlhdtips__Welcome Custom Lightning Component,CHROME,2024-07-11T03:43:57Z,4,4,3612,4,0,0,0,0
3mKdM000000DxB5UAK,2024-07-10,Contact runtime_platform_actions:quickActionWrapper,CHROME,2024-07-11T03:43:57Z,1,2,1281,1,0,0,0,0
3mKdM000000Dxc8UAC,2024-07-10,trlhdtips__Install_a_Package Custom Lightning Component,CHROME,2024-07-11T03:43:57Z,1,1,648,1,0,0,0,0
3mKdM000000DySFUA0,2024-07-10,onesetup:setupAlohaPage,CHROME,2024-07-11T03:43:57Z,8,10,13495,8,0,0,0,0
3mKdM000000DyjGUAS,2024-07-10,Home,CHROME,2024-07-11T03:43:57Z,9,15,17603,8,1,0,0,0
3mKdM000000DyllUAC,2024-07-10,Opportunity runtime_platform_actions:quickActionWrapper,CHROME,2024-07-11T03:43:57Z,2,2,2337,2,0,0,0,0
3mKdM000000DyvUUAS,2024-07-10,objectManager:objectDetailPage,CHROME,2024-07-11T03:43:57Z,39,40,50663,39,0,0,0,0
3mKdM000000DztwUAC,2024-07-10,Properti__c one:recordActionWrapper,CHROME,2024-07-11T03:43:57Z,4,4,7754,2,2,0,0,0
3mKdM000000E0nsUAC,2024-07-10,support:incidentMgmt,CHROME,2024-07-11T03:43:57Z,1,1,515,1,0,0,0,0
3mKdM000000E2x4UAC,2024-07-10,objectManager:setupAlohaPage,CHROME,2024-07-11T03:43:57Z,4,5,5111,4,0,0,0,0
3mKdM000000E3D7UAK,2024-07-10,Contact runtime_pipeline_inspector:pipelineInspectorHome,CHROME,2024-07-11T03:43:57Z,0,6,0,0,0,0,0,0
3mKdM000000E3sEUAS,2024-07-10,objectManager:objectList,CHROME,2024-07-11T03:43:57Z,11,11,10442,11,0,0,0,0
3mKdM000000E4roUAC,2024-07-10,onesetup:baseHomePage,CHROME,2024-07-11T03:43:57Z,11,12,14315,11,0,0,0,0
3mKdM000000E6IxUAK,2024-07-10,Contact Record,CHROME,2024-07-11T03:43:57Z,2,2,5140,2,0,0,0,0
3mKdM000000E6klUAC,2024-07-10,Settings app_flexipage:lwcAppFlexipageWrapper,CHROME,2024-07-11T03:43:57Z,1,1,778,1,0,0,0,0
3mKdM000000E80uUAC,2024-07-11,Account sfa:inspectionDesktopObjectHome,CHROME,2024-07-12T04:57:25Z,0,7,0,0,0,0,0,0
3mKdM000000E8VLUA0,2024-07-11,Contact Record,CHROME,2024-07-12T04:57:25Z,2,5,3176,2,0,0,0,0
3mKdM000000E8z2UAC,2024-07-11,Energy_Audits__r Related Lists,CHROME,2024-07-12T04:57:25Z,2,3,1411,2,0,0,0,0
3mKdM000000E981UAC,2024-07-11,onesetup:setupAlohaPage,CHROME,2024-07-12T04:57:25Z,5,7,8166,5,0,0,0,0
3mKdM000000EAXBUA4,2024-07-11,Energy_Audit__c Record,CHROME,2024-07-12T04:57:25Z,6,11,9386,5,1,0,0,0
3mKdM000000EBb0UAG,2024-07-11,Home,CHROME,2024-07-12T04:57:25Z,3,11,4727,3,0,0,0,0
3mKdM000000EBn3UAG,2024-07-11,objectManager:objectDetailPage,CHROME,2024-07-12T04:57:25Z,61,74,89262,58,3,0,0,0
3mKdM000000ECfHUAW,2024-07-11,Energy_Audit__c objectManager:lookupRedirect,CHROME,2024-07-12T04:57:25Z,0,1,0,0,0,0,0,0
3mKdM000000EDrxUAG,2024-07-11,Account Record List,CHROME,2024-07-12T04:57:25Z,5,11,5862,5,0,0,0,0
3mKdM000000EEQeUAO,2024-07-11,Account Record,CHROME,2024-07-12T04:57:25Z,3,9,6187,3,0,0,0,0
3mKdM000000EEn6UAG,2024-07-11,Energy_Audit__c one:recordActionWrapper,CHROME,2024-07-12T04:57:25Z,2,5,5117,1,1,0,0,0
3mKdM000000EF8jUAG,2024-07-11,Energy_Audit__c Record List,CHROME,2024-07-12T04:57:25Z,4,5,5187,4,0,0,0,0
3mKdM000000EF96UAG,2024-07-11,objectManager:setupAlohaPage,CHROME,2024-07-12T04:57:25Z,0,1,0,0,0,0,0,0
3mKdM000000EFjuUAG,2024-07-11,objectManager:lookupRedirect,CHROME,2024-07-12T04:57:25Z,0,1,0,0,0,0,0,0
3mKdM000000EFusUAG,2024-07-11,Opportunity one:recordActionWrapper,CHROME,2024-07-12T04:57:25Z,1,1,4885,0,1,0,0,0
3mKdM000000EG8VUAW,2024-07-11,onesetup:baseHomePage,CHROME,2024-07-12T04:57:25Z,7,13,10095,7,0,0,0,0
3mKdM000000EGDxUAO,2024-07-11,Contact one:recordActionWrapper,CHROME,2024-07-12T04:57:25Z,1,1,1193,1,0,0,0,0
3mKdM000000EGVPUA4,2024-07-11,setupnav:appManager,CHROME,2024-07-12T04:57:25Z,1,1,3205,0,1,0,0,0
3mKdM000000EHSrUAO,2024-07-11,Contact runtime_pipeline_inspector:pipelineInspectorHome,CHROME,2024-07-12T04:57:25Z,0,6,0,0,0,0,0,0
3mKdM000000EHokUAG,2024-07-11,objectManager:objectList,CHROME,2024-07-12T04:57:25Z,7,12,8133,7,0,0,0,0
3mKdM000000ELc9UAG,2024-07-11,Opportunity Record List,CHROME,2024-07-12T04:57:25Z,1,5,1694,1,0,0,0,0
3mKdM000000ELk5UAG,2024-07-11,Contact sfa:inspectionDesktopObjectHome,CHROME,2024-07-12T04:57:25Z,0,3,0,0,0,0,0,0
3mKdM000000EOETUA4,2024-07-11,ContentDocument Files,CHROME,2024-07-12T04:57:25Z,0,1,0,0,0,0,0,0
3mKdM000000EOlAUAW,2024-07-11,Opportunity sfa:inspectionDesktopObjectHome,CHROME,2024-07-12T04:57:25Z,0,1,0,0,0,0,0,0
3mKdM000000EQMfUAO,2024-07-12,Contact sfa:inspectionDesktopObjectHome,CHROME,2024-07-13T03:50:27Z,0,1,0,0,0,0,0,0
3mKdM000000ER1oUAG,2024-07-12,runtime_iag_core:declarativePromptSetup,CHROME,2024-07-13T03:50:27Z,1,2,1851,1,0,0,0,0
3mKdM000000ES3QUAW,2024-07-12,trlhdtips__Welcome Custom Lightning Component,CHROME,2024-07-13T03:50:27Z,0,1,0,0,0,0,0,0
3mKdM000000ETBiUAO,2024-07-12,trlhdtips__Install_a_Package Custom Lightning Component,CHROME,2024-07-13T03:50:27Z,1,1,594,1,0,0,0,0
3mKdM000000ETdeUAG,2024-07-12,Contact Record,CHROME,2024-07-13T03:50:27Z,1,1,3234,0,1,0,0,0
3mKdM000000ETqbUAG,2024-07-12,objectManager:setupAlohaPage,CHROME,2024-07-13T03:50:27Z,2,2,2027,2,0,0,0,0
3mKdM000000EUAsUAO,2024-07-12,Contact runtime_pipeline_inspector:pipelineInspectorHome,CHROME,2024-07-13T03:50:27Z,0,2,0,0,0,0,0,0
3mKdM000000EV3GUAW,2024-07-12,objectManager:objectList,CHROME,2024-07-13T03:50:27Z,2,2,2513,2,0,0,0,0
3mKdM000000EVBDUA4,2024-07-12,onesetup:setupAlohaPage,CHROME,2024-07-13T03:50:27Z,8,10,8771,8,0,0,0,0
3mKdM000000EVnRUAW,2024-07-12,Home,CHROME,2024-07-13T03:50:27Z,0,6,0,0,0,0,0,0
3mKdM000000EWHIUA4,2024-07-12,objectManager:objectDetailPage,CHROME,2024-07-13T03:50:27Z,13,16,34414,11,1,0,1,0
3mKdM000000EWHfUAO,2024-07-12,onesetup:baseHomePage,CHROME,2024-07-13T03:50:27Z,2,5,1829,2,0,0,0,0
3mKdM000000ElU8UAK,2024-07-15,LearningItem one:learningHomeTab,CHROME,2024-07-16T03:57:22Z,0,1,0,0,0,0,0,0
3mKdM000000EpgaUAC,2024-07-15,Report Reports,CHROME,2024-07-16T03:57:22Z,1,2,3719,0,1,0,0,0
3mKdM000000ErVkUAK,2024-07-15,Report,CHROME,2024-07-16T03:57:22Z,5,14,5741,5,0,0,0,0
3mKdM000000EuLZUA0,2024-07-15,Report Builder,CHROME,2024-07-16T03:57:22Z,8,11,26719,5,2,1,0,0
3mKdM000000EucnUAC,2024-07-15,unknown unknown,CHROME,2024-07-16T03:57:22Z,0,6,0,0,0,0,0,0
3mKdM000000Exd9UAC,2024-07-15,Home,CHROME,2024-07-16T03:57:22Z,0,3,0,0,0,0,0,0
3mKdM000000EybBUAS,2024-07-15,Dashboards,CHROME,2024-07-16T03:57:22Z,3,3,2625,3,0,0,0,0
3mKdM000000Ez6RUAS,2024-07-15,Dashboard,CHROME,2024-07-16T03:57:22Z,2,3,1724,2,0,0,0,0
3mKdM000000F1uFUAS,2024-07-16,objectManager:objectList,CHROME,2024-07-17T04:54:57Z,0,1,0,0,0,0,0,0
3mKdM000000F2j0UAC,2024-07-16,onesetup:baseHomePage,CHROME,2024-07-17T04:54:57Z,2,2,3068,2,0,0,0,0
3mKdM000000F35CUAS,2024-07-16,unknown unknown,CHROME,2024-07-17T04:54:57Z,1,2,1511,1,0,0,0,0
3mKdM000000F74gUAC,2024-07-16,onesetup:setupAlohaPage,CHROME,2024-07-17T04:54:57Z,3,3,5737,3,0,0,0,0
3mKdM000000F7aqUAC,2024-07-16,objectManager:objectDetailPage,CHROME,2024-07-17T04:54:57Z,2,3,3987,2,0,0,0,0
3mKdM000000FL1uUAG,2024-07-17,onesetup:setupAlohaPage,CHROME,2024-07-18T04:08:45Z,1,1,1901,1,0,0,0,0
3mKdM000000FLVXUA4,2024-07-17,objectManager:objectDetailPage,CHROME,2024-07-18T04:08:45Z,30,33,29858,30,0,0,0,0
3mKdM000000FMaSUAW,2024-07-17,Contact Record,CHROME,2024-07-18T04:08:45Z,1,1,1734,1,0,0,0,0
3mKdM000000FMsPUAW,2024-07-17,Report,CHROME,2024-07-18T04:08:45Z,1,1,2570,1,0,0,0,0
3mKdM000000FPdTUAW,2024-07-17,objectManager:setupAlohaPage,CHROME,2024-07-18T04:08:45Z,1,1,850,1,0,0,0,0
3mKdM000000FPtRUAW,2024-07-17,Contact runtime_pipeline_inspector:pipelineInspectorHome,CHROME,2024-07-18T04:08:45Z,0,4,0,0,0,0,0,0
3mKdM000000FQKyUAO,2024-07-17,Report Builder,CHROME,2024-07-18T04:08:45Z,1,1,2115,1,0,0,0,0
3mKdM000000FQbOUAW,2024-07-17,objectManager:objectList,CHROME,2024-07-18T04:08:45Z,5,7,5577,5,0,0,0,0
3mKdM000000FRAFUA4,2024-07-17,Opportunity one:recordActionWrapper,CHROME,2024-07-18T04:08:45Z,1,2,1359,1,0,0,0,0
3mKdM000000FRboUAG,2024-07-17,onesetup:baseHomePage,CHROME,2024-07-18T04:08:45Z,6,10,6924,6,0,0,0,0
3mKdM000000FRmjUAG,2024-07-17,Contact one:recordActionWrapper,CHROME,2024-07-18T04:08:45Z,1,2,2948,1,0,0,0,0
