Id,ParentId,Name,DeveloperName,AccessType,IsReadonly,Type,NamespacePrefix,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp
00ldM000004lmOgQAI,,Salesforce Adoption Dashboards,SalesforceAdoptionDashboards,Hidden,True,Dashboard,,2024-07-24T09:28:43Z,005dM000004WE3FQAW,2024-07-24T09:28:43Z,005dM000004WE3FQAW,2024-07-24T09:28:43Z
00ldM000003yazlQAA,,Shared App,SharedApp,Hidden,True,Insights,,2024-07-10T05:50:30Z,005dM000004WWvJQAW,2024-07-10T05:50:30Z,005dM000004WWvJQAW,2024-07-10T05:50:30Z
00ldM000003yazmQAA,,Einstein Bot Reports,EinsteinBotReports,Hidden,True,Report,,2024-07-10T05:50:30Z,005dM000004WWvKQAW,2024-07-10T05:50:30Z,005dM000004WWvKQAW,2024-07-10T05:50:30Z
00ldM000003yaznQAA,,Einstein Bot Reports Summer ’22,EinsteinBotReports_v2,Hidden,True,Report,,2024-07-10T05:50:30Z,005dM000004WWvKQAW,2024-07-10T05:50:30Z,005dM000004WWvKQAW,2024-07-10T05:50:30Z
00ldM000003yazoQAA,,Einstein Bot Reports Winter '23,EBotR_v3,Hidden,True,Report,,2024-07-10T05:50:30Z,005dM000004WWvKQAW,2024-07-10T05:50:30Z,005dM000004WWvKQAW,2024-07-10T05:50:30Z
00ldM000003yazpQAA,,Einstein Bot Reports Spring '23,EBotR_v4,Hidden,True,Report,,2024-07-10T05:50:30Z,005dM000004WWvKQAW,2024-07-10T05:50:30Z,005dM000004WWvKQAW,2024-07-10T05:50:30Z
00ldM000003yazqQAA,,Einstein Bot Reports Summer '23,EBotR_v5,Hidden,True,Report,,2024-07-10T05:50:30Z,005dM000004WWvKQAW,2024-07-10T05:50:30Z,005dM000004WWvKQAW,2024-07-10T05:50:30Z
00ldM000004lmOfQAI,,DB - Adoption,DB_Adoption,Hidden,True,Report,,2024-07-24T09:28:38Z,005dM000004WE3FQAW,2024-07-24T09:28:38Z,005dM000004WE3FQAW,2024-07-24T09:28:38Z
