Id,CreatedById,CreatedDate,LastModifiedById,LastModifiedDate,IsArchived,ArchivedById,ArchivedDate,IsDeleted,OwnerId,SystemModstamp,Title,PublishStatus,LatestPublishedVersionId,ParentId,LastViewedDate,LastReferencedDate,Description,ContentSize,FileType,FileExtension,SharingOption,SharingPrivacy,ContentModifiedDate,ContentAssetId
069dM000003ugviQAA,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,False,,,False,005dM000004WE3FQAW,1720590630000,thflogo,P,068dM000002lHHCQA2,,,,,8312,PNG,png,A,N,1859657627000,03SdM000000kLO1UAM
069dM000003uoziQAA,005dM000004WE3FQAW,1720591806000,005dM000004WE3FQAW,1720591815000,False,,,False,005dM000004WE3FQAW,1720591839000,dreamhouse-logo-square,P,068dM000002lMYcQAM,,,,,23382,PNG,png,A,N,1720591815000,03SdM000000kMdRUAU
069dM0000040mC1QAI,005dM000004WE3FQAW,1720681250000,005dM000004WE3FQAW,1720681456000,False,,,False,005dM000004WE3FQAW,1720681459000,energy,P,068dM000002pzWXQAY,,1720681456000.0,1720681456000.0,,3422,PNG,png,A,N,1720681250000,03SdM000000lb0vUAA
069dM00000420EYQAY,005dM000004WE3FQAW,1720696109000,005dM000004WE3FQAW,1720696169000,False,,,False,005dM000004WE3FQAW,1720696170000,dummy,R,068dM000002qrS6QAI,,1720696604000.0,1720696604000.0,,7478,PDF,pdf,A,N,1720696109000,
069dM000004yEXFQA2,005dM000004WE3FQAW,1722321933000,005dM000004WE3FQAW,1722322115000,False,,,False,005dM000004WE3FQAW,1722322116000,dreamhouse-logo,P,068dM000003XIPRQA4,,1722322115000.0,1722322115000.0,,16805,PNG,png,A,N,1722321933000,03SdM000000wryQUAQ
