Id,DurableId,LastModifiedDate,LastModifiedById,QualifiedApiName,NamespacePrefix,DeveloperName,MasterLabel,Label,PluralLabel,DefaultCompactLayoutId,IsCustomizable,IsApexTriggerable,IsWorkflowEnabled,IsProcessEnabled,IsCompactLayoutable,DeploymentStatus,KeyPrefix,IsCustomSetting,IsDeprecatedAndHidden,IsReplicateable,IsRetrieveable,IsSearchLayoutable,IsSearchable,IsTriggerable,IsIdEnabled,IsEverCreatable,IsEverUpdatable,IsEverDeletable,IsFeedEnabled,IsQueryable,IsMruEnabled,DetailUrl,EditUrl,NewUrl,EditDefinitionUrl,HelpSettingPageName,HelpSettingPageUrl,RunningUserEntityAccessId,PublisherId,IsLayoutable,RecordTypesSupported,InternalSharingModel,ExternalSharingModel,HasSubtypes,IsSubtype,IsAutoActivityCaptureEnabled,IsInterface,ImplementsInterfaces,ImplementedBy,ExtendsInterfaces,ExtendedBy,DefaultImplementation
000000000000000AAA,EventRelayFeedback,,,EventRelayFeedback,,EventRelayFeedback,Event Relay Feedback,Event Relay Feedback,Event Relay Feedbacks,,False,True,False,False,False,,7k4,False,False,True,True,False,False,True,True,True,True,True,False,True,False,/{ID},/{ID}/e,/7k4/e,,,,EventRelayFeedback.005dM000004WE3FQAW,System,False,"{'recordTypeInfos': [{'available': True, 'defaultRecordTypeMapping': True, 'name': 'Master', 'developerName': 'Master', 'recordTypeId': '012000000000000AAA', 'active': True, 'master': True, 'urls': {'layout': '/services/data/v59.0/sobjects/EventRelayFeedback/describe/layouts/012000000000000AAA'}}]}",ReadWrite,ReadWrite,False,False,False,False,,,,,
000000000000000AAA,IncidentRelatedItem,,,IncidentRelatedItem,,IncidentRelatedItem,Incident Related Item,Incident Related Item,Incident Related Items,IncidentRelatedItem.SYSTEM,True,True,True,False,True,,0tA,False,False,True,True,False,False,True,True,True,True,True,False,True,False,/{ID},/{ID}/e,/0tA/e,,,,IncidentRelatedItem.005dM000004WE3FQAW,System,True,"{'recordTypeInfos': [{'available': True, 'defaultRecordTypeMapping': True, 'name': 'Master', 'developerName': 'Master', 'recordTypeId': '012000000000000AAA', 'active': True, 'master': True, 'urls': {'layout': '/services/data/v59.0/sobjects/IncidentRelatedItem/describe/layouts/012000000000000AAA'}}]}",ControlledByParent,ControlledByParent,False,False,False,False,,,,,
000000000000000AAA,IncidentRelatedItemHistory,,,IncidentRelatedItemHistory,,IncidentRelatedItemHistory,Incident Related Item History,Incident Related Item History,Incident Related Item History,,False,False,False,False,False,,017,False,False,True,True,False,False,False,True,True,False,True,False,True,False,/{ID},/{ID}/e,/017/e,,,,IncidentRelatedItemHistory.005dM000004WE3FQAW,System,False,{'recordTypeInfos': []},ControlledByParent,ControlledByParent,False,False,False,False,,,,,
000000000000000AAA,IncidentRelatedItemFeed,,,IncidentRelatedItemFeed,,IncidentRelatedItemFeed,Incident Related Item Feed,Incident Related Item Feed,Incident Related Item Feed,,False,False,False,False,False,,0D5,False,False,True,True,False,False,False,True,False,False,True,False,True,False,/{ID},/{ID}/e,/0D5/e,,,,IncidentRelatedItemFeed.005dM000004WE3FQAW,System,False,{'recordTypeInfos': []},ControlledByParent,ControlledByParent,False,False,False,False,,,,,
000000000000000AAA,IncidentRelatedItemChangeEvent,,,IncidentRelatedItemChangeEvent,,IncidentRelatedItemChangeEvent,Incident Related Item Change Event,Incident Related Item Change Event,Incident Related Item Change Event,,False,True,False,False,False,,1CE,False,False,False,True,False,False,True,False,True,True,True,False,False,False,/{ID},/{ID}/e,/1CE/e,,,,IncidentRelatedItemChangeEvent.005dM000004WE3FQAW,CDC,False,{'recordTypeInfos': []},ControlledByParent,ControlledByParent,False,False,False,False,,,,,
000000000000000AAA,MlFeatureValueMetric,,,MlFeatureValueMetric,,MlFeatureValueMetric,ML Feature Value Metric,ML Feature Value Metric,ML Feature Value Metrics,,False,False,False,False,False,,48i,False,False,True,True,False,False,False,True,True,True,True,False,True,False,/{ID},/{ID}/e,/48i/e,,,,MlFeatureValueMetric.005dM000004WE3FQAW,System,False,"{'recordTypeInfos': [{'available': True, 'defaultRecordTypeMapping': True, 'name': 'Master', 'developerName': 'Master', 'recordTypeId': '012000000000000AAA', 'active': True, 'master': True, 'urls': {'layout': '/services/data/v59.0/sobjects/MlFeatureValueMetric/describe/layouts/012000000000000AAA'}}]}",ReadWrite,ReadWrite,False,False,False,False,,,,,
000000000000000AAA,ProblemRelatedItem,,,ProblemRelatedItem,,ProblemRelatedItem,Problem Related Item,Problem Related Item,Problem Related Items,ProblemRelatedItem.SYSTEM,True,True,True,False,True,,0tB,False,False,True,True,False,False,True,True,True,True,True,False,True,False,/{ID},/{ID}/e,/0tB/e,,,,ProblemRelatedItem.005dM000004WE3FQAW,System,True,"{'recordTypeInfos': [{'available': True, 'defaultRecordTypeMapping': True, 'name': 'Master', 'developerName': 'Master', 'recordTypeId': '012000000000000AAA', 'active': True, 'master': True, 'urls': {'layout': '/services/data/v59.0/sobjects/ProblemRelatedItem/describe/layouts/012000000000000AAA'}}]}",ControlledByParent,ControlledByParent,False,False,False,False,,,,,
000000000000000AAA,ProblemRelatedItemHistory,,,ProblemRelatedItemHistory,,ProblemRelatedItemHistory,Problem Related Item History,Problem Related Item History,Problem Related Item History,,False,False,False,False,False,,017,False,False,True,True,False,False,False,True,True,False,True,False,True,False,/{ID},/{ID}/e,/017/e,,,,ProblemRelatedItemHistory.005dM000004WE3FQAW,System,False,{'recordTypeInfos': []},ControlledByParent,ControlledByParent,False,False,False,False,,,,,
000000000000000AAA,ProblemRelatedItemFeed,,,ProblemRelatedItemFeed,,ProblemRelatedItemFeed,Problem Related Item Feed,Problem Related Item Feed,Problem Related Item Feed,,False,False,False,False,False,,0D5,False,False,True,True,False,False,False,True,False,False,True,False,True,False,/{ID},/{ID}/e,/0D5/e,,,,ProblemRelatedItemFeed.005dM000004WE3FQAW,System,False,{'recordTypeInfos': []},ControlledByParent,ControlledByParent,False,False,False,False,,,,,
000000000000000AAA,ProblemRelatedItemChangeEvent,,,ProblemRelatedItemChangeEvent,,ProblemRelatedItemChangeEvent,Problem Related Item Change Event,Problem Related Item Change Event,Problem Related Item Change Event,,False,True,False,False,False,,1CE,False,False,False,True,False,False,True,False,True,True,True,False,False,False,/{ID},/{ID}/e,/1CE/e,,,,ProblemRelatedItemChangeEvent.005dM000004WE3FQAW,CDC,False,{'recordTypeInfos': []},ControlledByParent,ControlledByParent,False,False,False,False,,,,,
