Id,PermissionSetId,PermissionSetGroupId,AssigneeId,SystemModstamp,ExpirationDate,IsActive,IsRevoked
0PadM000001r3iRSAQ,0PSdM000004RA81WAG,,005dM000004WWvQQAW,2024-07-10T05:50:30Z,,True,False
0PadM000001r3iTSAQ,0PSdM000004RA7RWAW,,005dM000004WWvTQAW,2024-07-10T05:50:30Z,,True,False
0PadM000001r3iUSAQ,0PSdM000004RA86WAG,,005dM000004WWvRQAW,2024-07-10T05:50:30Z,,True,False
0PadM000001r3iVSAQ,0PSdM000004RA82WAG,,005dM000004WWvJQAW,2024-07-10T05:50:30Z,,True,False
0PadM000001r3iYSAQ,0PSdM000004RA7qWAG,,005dM000004WE3FQAW,2024-07-10T05:50:30Z,,True,False
0PadM0000028rpDSAQ,0PSdM000004RA7qWAG,,005dM000005AMdtQAG,2024-07-18T06:09:25Z,,True,False
