Id,IsDeleted,OwnerId,FolderId,FolderName,Title,DeveloperName,NamespacePrefix,Description,LeftSize,MiddleSize,RightSize,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,RunningUserId,TitleColor,TitleSize,TextColor,BackgroundStart,BackgroundEnd,BackgroundDirection,Type,LastViewedDate,LastReferencedDate,DashboardResultRefreshedDate,DashboardResultRunningUser,ColorPalette,ChartTheme
01ZdM000001RcVFUA0,False,005dM000004WE3FQAW,005dM000004WE3FQAW,Private Dashboards,Sales Manager DashBoard,EobdESEpXflltqaqWdRFXoywPpluIM,,,Medium,Medium,Medium,1721027139000,005dM000004WE3FQAW,1721027139000,005dM000004WE3FQAW,1721027139000,005dM000004WE3FQAW,0,12,0,16777215,16777215,Diagonal,SpecifiedUser,1721027142000.0,1721027142000.0,,,unity,light
01ZdM000001Rcv3UAC,False,005dM000004WE3FQAW,005dM000004WE3FQAW,Private Dashboards,Leads Dashboard,czjdrIxhtfDEVmPyKOfgMiobrAEKeC,,,Medium,Medium,Medium,1721027367000,005dM000004WE3FQAW,1721027452000,005dM000004WE3FQAW,1721027452000,005dM000004WE3FQAW,0,12,0,16777215,16777215,Diagonal,SpecifiedUser,1721027455000.0,1721027455000.0,,,unity,light
01ZdM000001RdvxUAC,False,005dM000004WE3FQAW,005dM000004WE3FQAW,Private Dashboards,Big Deals,HiJvxxFAHbHRecABfFfjyvzqBsRkkD,,,Medium,Medium,Medium,1721027819000,005dM000004WE3FQAW,1721027846000,005dM000004WE3FQAW,1721027846000,005dM000004WE3FQAW,0,12,0,16777215,16777215,Diagonal,SpecifiedUser,1721192679000.0,1721192679000.0,,,unity,light
01ZdM000001adv7UAA,False,005dM000004WE3FQAW,005dM000004WE3FQAW,Private Dashboards,Suggestions Dashboard,IFzwymZpuriztfJbGoVGeHhvIJFeBO,,,Medium,Medium,Medium,1721719370000,005dM000004WE3FQAW,1721719481000,005dM000004WE3FQAW,1721719481000,005dM000004WE3FQAW,0,12,0,16777215,16777215,Diagonal,SpecifiedUser,1721719484000.0,1721719484000.0,,,unity,light
01ZdM000001bqofUAA,False,005dM000004WE3FQAW,00ldM000004lmOgQAI,Salesforce Adoption Dashboards,1 - User Adoption (Logins),X1_User_Adoption_Logins,,,Medium,Medium,Medium,1721813323000,005dM000004WE3FQAW,1721813323000,005dM000004WE3FQAW,1721813323000,005dM000004WE3FQAW,0,12,0,16777215,16777215,Diagonal,SpecifiedUser,1721822318000.0,1721822318000.0,,,,
01ZdM000001bqogUAA,False,005dM000004WE3FQAW,00ldM000004lmOgQAI,Salesforce Adoption Dashboards,2 - Key Feature Adoption,X2_Key_Feature_Adoption,,,Medium,Medium,Medium,1721813323000,005dM000004WE3FQAW,1721813323000,005dM000004WE3FQAW,1721813323000,005dM000004WE3FQAW,0,12,0,16777215,16777215,Diagonal,SpecifiedUser,,,,,,
01ZdM000001bqohUAA,False,005dM000004WE3FQAW,00ldM000004lmOgQAI,Salesforce Adoption Dashboards,3 - Sales & Marketing Adoption,X3_Sales_Marketing_Adoption,,,Medium,Medium,Medium,1721813324000,005dM000004WE3FQAW,1721813324000,005dM000004WE3FQAW,1721813324000,005dM000004WE3FQAW,0,12,0,16777215,16777215,Diagonal,SpecifiedUser,,,,,,
