Id,ParentId,Name,DeveloperName,AccessType,IsReadonly,Type,NamespacePrefix,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp
00ldM000004lmOgQAI,,Salesforce Adoption Dashboards,SalesforceAdoptionDashboards,Hidden,True,Dashboard,,1721813323000,005dM000004WE3FQAW,1721813323000,005dM000004WE3FQAW,1721813323000
00ldM000003yazlQAA,,Shared App,SharedApp,Hidden,True,Insights,,1720590630000,005dM000004WWvJQAW,1720590630000,005dM000004WWvJQAW,1720590630000
00ldM000003yazmQAA,,Einstein Bot Reports,EinsteinBotReports,Hidden,True,Report,,1720590630000,005dM000004WWvKQAW,1720590630000,005dM000004WWvKQAW,1720590630000
00ldM000003yaznQAA,,Einstein Bot Reports Summer ’22,EinsteinBotReports_v2,Hidden,True,Report,,1720590630000,005dM000004WWvKQAW,1720590630000,005dM000004WWvKQAW,1720590630000
00ldM000003yazoQAA,,Einstein Bot Reports Winter '23,EBotR_v3,Hidden,True,Report,,1720590630000,005dM000004WWvKQAW,1720590630000,005dM000004WWvKQAW,1720590630000
00ldM000003yazpQAA,,Einstein Bot Reports Spring '23,EBotR_v4,Hidden,True,Report,,1720590630000,005dM000004WWvKQAW,1720590630000,005dM000004WWvKQAW,1720590630000
00ldM000003yazqQAA,,Einstein Bot Reports Summer '23,EBotR_v5,Hidden,True,Report,,1720590630000,005dM000004WWvKQAW,1720590630000,005dM000004WWvKQAW,1720590630000
00ldM000004lmOfQAI,,DB - Adoption,DB_Adoption,Hidden,True,Report,,1721813318000,005dM000004WE3FQAW,1721813318000,005dM000004WE3FQAW,1721813318000
