Id,MetricsDate,PermissionSetLicenseId,SystemModstamp,AssignedUserCount,ActiveUserCount,DeveloperName,MasterLabel,TotalLicenses
5H1dM000002j7sYSAQ,2024-07-21,0PLdM000001KGJSWA4,2024-07-20T19:38:55Z,0,0,CommerceBusinessUserPsl,Commerce Business User,0
5H1dM000002j7sZSAQ,2024-07-21,0PLdM000001KGJOWA4,2024-07-20T19:38:55Z,0,0,StandardEinsteinActivityCapturePsl,Standard Einstein Activity Capture User,100
5H1dM000002j7saSAA,2024-07-21,0PLdM000001KGJNWA4,2024-07-20T19:38:55Z,0,0,IsotopePermissionSet,Isotope Permission Set,0
5H1dM000002j7sbSAA,2024-07-21,0PLdM000001KGJXWA4,2024-07-20T19:38:55Z,0,0,CommerceMerchandiserUserPsl,Commerce Merchandiser User Permission Set License Seat,20
5H1dM000002j7scSAA,2024-07-21,0PLdM000001KGJTWA4,2024-07-20T19:38:55Z,0,0,B2BBuyerPsl,B2B Buyer Permission Set One Seat,20
5H1dM000002j7sdSAA,2024-07-21,0PLdM000001KGJqWAO,2024-07-20T19:38:55Z,0,0,ServiceUserPsl,Service User,1
5H1dM000002j7seSAA,2024-07-21,0PLdM000001KGJVWA4,2024-07-20T19:38:55Z,0,0,CommerceAdminUserPsl,Commerce Admin Permission Set License Seat,20
5H1dM000002j7sfSAA,2024-07-21,0PLdM000001KGknWAG,2024-07-20T19:38:55Z,0,0,EnablementLitePsl,Enablement Lite,15
5H1dM000002j7sgSAA,2024-07-21,0PLdM000001KGJfWAO,2024-07-20T19:38:55Z,0,0,FieldServiceStandardPsl,Field Service Standard,5
5H1dM000002j7shSAA,2024-07-21,0PLdM000001KGJUWA4,2024-07-20T19:38:55Z,0,0,CommerceUserPsl,Commerce User,20
5H1dM000002j7siSAA,2024-07-21,0PLdM000001KGJpWAO,2024-07-20T19:38:55Z,0,0,FieldServiceDispatcher,Field Service Dispatcher,0
5H1dM000002j7sjSAA,2024-07-21,0PLdM000001KGJbWAO,2024-07-20T19:38:55Z,0,0,CRMUserPsl,CRM User,1
5H1dM000002j7skSAA,2024-07-21,0PLdM000001KGJgWAO,2024-07-20T19:38:55Z,0,0,IdentityConnect,Identity Connect,10
5H1dM000002j7slSAA,2024-07-21,0PLdM000001KGJPWA4,2024-07-20T19:38:55Z,0,0,SalesforceCPQ_CPQAAPerm,Salesforce CPQ AA License,2
5H1dM000002j7smSAA,2024-07-21,0PLdM000001KGJQWA4,2024-07-20T19:38:55Z,0,0,SalesforceCPQ_CPQStandardPerm,Salesforce CPQ License,2
5H1dM000002j7snSAA,2024-07-21,0PLdM000001KGJdWAO,2024-07-20T19:38:55Z,0,0,FieldServiceMobilePsl,Field Service Mobile,1
5H1dM000002j7soSAA,2024-07-21,0PLdM000001KGJWWA4,2024-07-20T19:38:55Z,0,0,SlackServiceUserPsl,Slack Service User,1
5H1dM000002j7spSAA,2024-07-21,0PLdM000001KGJcWAO,2024-07-20T19:38:55Z,0,0,FieldServiceSchedulingPsl,Field Service Scheduling,1
5H1dM000002j7sqSAA,2024-07-21,0PLdM000001KGJjWAO,2024-07-20T19:38:55Z,0,0,InsightsBuilderPsl,Analytics Cloud Builder,0
5H1dM000002j7srSAA,2024-07-21,0PLdM000001KGJhWAO,2024-07-20T19:38:55Z,0,0,ContractsOrdersProductsPsl,Orders Platform,2
5H1dM000002j7ssSAA,2024-07-21,0PLdM000001KGJoWAO,2024-07-20T19:38:55Z,0,0,FieldServiceStandard,Field Service Standard,0
5H1dM000002j7stSAA,2024-07-21,0PLdM000001KGJlWAO,2024-07-20T19:38:55Z,0,0,FieldServiceMobile,Field Service Mobile,0
5H1dM000002j7suSAA,2024-07-21,0PLdM000001KGJYWA4,2024-07-20T19:38:55Z,0,0,SalesforceAPIIntegrationPsl,Salesforce API Integration,1
5H1dM000002j7svSAA,2024-07-21,0PLdM000001KGJiWAO,2024-07-20T19:38:55Z,0,0,SalesConsoleUser,Sales Console User,2
5H1dM000002j7swSAA,2024-07-21,0PLdM000001KGJkWAO,2024-07-20T19:38:55Z,0,0,InsightsExplorerPsl,Analytics Cloud Explorer,0
5H1dM000002j7sxSAA,2024-07-21,0PLdM000001KGJaWAO,2024-07-20T19:38:55Z,0,0,EmbeddedServiceMessagingUserPsl,Messaging for In-App and Web User,5
5H1dM000002j7sySAA,2024-07-21,0PLdM000001KGJRWA4,2024-07-20T19:38:55Z,0,0,B2BBuyerManagerPsl,B2B Buyer Manager Permission Set One Seat,20
5H1dM000002j7szSAA,2024-07-21,0PLdM000001KGJeWAO,2024-07-20T19:38:55Z,0,0,FieldServiceDispatcherPsl,Field Service Dispatcher,1
5H1dM000002j7t0SAA,2024-07-21,0PLdM000001KGJZWA4,2024-07-20T19:38:55Z,0,0,SalesEngagementBasicPsl,Sales Engagement Basic,100
5H1dM000003HcA0SAK,2024-07-28,0PLdM000001KGJmWAO,2024-07-27T19:45:58Z,0,0,FieldServiceScheduling,Field Service Scheduling,0
5H1dM000003HcA1SAK,2024-07-28,0PLdM000001KGJnWAO,2024-07-27T19:45:58Z,0,0,SalesUserPsl,Sales User,1
5H1dM000003HcA2SAK,2024-07-28,0PLdM000001KGJSWA4,2024-07-27T19:45:58Z,0,0,CommerceBusinessUserPsl,Commerce Business User,0
5H1dM000003HcA3SAK,2024-07-28,0PLdM000001KGJOWA4,2024-07-27T19:45:58Z,0,0,StandardEinsteinActivityCapturePsl,Standard Einstein Activity Capture User,100
5H1dM000003HcA4SAK,2024-07-28,0PLdM000001KGJNWA4,2024-07-27T19:45:58Z,0,0,IsotopePermissionSet,Isotope Permission Set,0
5H1dM000003HcA5SAK,2024-07-28,0PLdM000001KGJXWA4,2024-07-27T19:45:58Z,0,0,CommerceMerchandiserUserPsl,Commerce Merchandiser User Permission Set License Seat,20
5H1dM000003HcA6SAK,2024-07-28,0PLdM000001KGJTWA4,2024-07-27T19:45:58Z,0,0,B2BBuyerPsl,B2B Buyer Permission Set One Seat,20
5H1dM000003HcA7SAK,2024-07-28,0PLdM000001KGJqWAO,2024-07-27T19:45:58Z,0,0,ServiceUserPsl,Service User,1
5H1dM000003HcA8SAK,2024-07-28,0PLdM000001KGJVWA4,2024-07-27T19:45:58Z,0,0,CommerceAdminUserPsl,Commerce Admin Permission Set License Seat,20
5H1dM000003HcA9SAK,2024-07-28,0PLdM000001KGknWAG,2024-07-27T19:45:58Z,0,0,EnablementLitePsl,Enablement Lite,15
5H1dM000003HcAASA0,2024-07-28,0PLdM000001KGJfWAO,2024-07-27T19:45:58Z,0,0,FieldServiceStandardPsl,Field Service Standard,5
5H1dM000003HcABSA0,2024-07-28,0PLdM000001KGJUWA4,2024-07-27T19:45:58Z,0,0,CommerceUserPsl,Commerce User,20
5H1dM000003HcACSA0,2024-07-28,0PLdM000001KGJpWAO,2024-07-27T19:45:58Z,0,0,FieldServiceDispatcher,Field Service Dispatcher,0
5H1dM000003HcADSA0,2024-07-28,0PLdM000001KGJbWAO,2024-07-27T19:45:58Z,0,0,CRMUserPsl,CRM User,1
5H1dM000003HcAESA0,2024-07-28,0PLdM000001KGJgWAO,2024-07-27T19:45:58Z,0,0,IdentityConnect,Identity Connect,10
5H1dM000003HcAFSA0,2024-07-28,0PLdM000001KGJPWA4,2024-07-27T19:45:58Z,0,0,SalesforceCPQ_CPQAAPerm,Salesforce CPQ AA License,2
5H1dM000003HcAGSA0,2024-07-28,0PLdM000001KGJQWA4,2024-07-27T19:45:58Z,0,0,SalesforceCPQ_CPQStandardPerm,Salesforce CPQ License,2
5H1dM000003HcAHSA0,2024-07-28,0PLdM000001KGJdWAO,2024-07-27T19:45:58Z,0,0,FieldServiceMobilePsl,Field Service Mobile,1
5H1dM000003HcAISA0,2024-07-28,0PLdM000001KGJWWA4,2024-07-27T19:45:58Z,0,0,SlackServiceUserPsl,Slack Service User,1
5H1dM000003HcAJSA0,2024-07-28,0PLdM000001KGJcWAO,2024-07-27T19:45:58Z,0,0,FieldServiceSchedulingPsl,Field Service Scheduling,1
5H1dM000003HcAKSA0,2024-07-28,0PLdM000001KGJjWAO,2024-07-27T19:45:58Z,0,0,InsightsBuilderPsl,Analytics Cloud Builder,0
5H1dM000003HcALSA0,2024-07-28,0PLdM000001KGJhWAO,2024-07-27T19:45:58Z,0,0,ContractsOrdersProductsPsl,Orders Platform,2
5H1dM000003HcAMSA0,2024-07-28,0PLdM000001KGJoWAO,2024-07-27T19:45:58Z,0,0,FieldServiceStandard,Field Service Standard,0
5H1dM000003HcANSA0,2024-07-28,0PLdM000001KGJlWAO,2024-07-27T19:45:58Z,0,0,FieldServiceMobile,Field Service Mobile,0
5H1dM000003HcAOSA0,2024-07-28,0PLdM000001KGJYWA4,2024-07-27T19:45:58Z,0,0,SalesforceAPIIntegrationPsl,Salesforce API Integration,1
5H1dM000003HcDdSAK,2024-07-28,0PLdM000001KGJiWAO,2024-07-27T19:45:58Z,0,0,SalesConsoleUser,Sales Console User,2
5H1dM000003HcDeSAK,2024-07-28,0PLdM000001KGJkWAO,2024-07-27T19:45:58Z,0,0,InsightsExplorerPsl,Analytics Cloud Explorer,0
5H1dM000003HcDfSAK,2024-07-28,0PLdM000001KGJaWAO,2024-07-27T19:45:58Z,0,0,EmbeddedServiceMessagingUserPsl,Messaging for In-App and Web User,5
5H1dM000003HcDgSAK,2024-07-28,0PLdM000001KGJRWA4,2024-07-27T19:45:58Z,0,0,B2BBuyerManagerPsl,B2B Buyer Manager Permission Set One Seat,20
5H1dM000003HcDhSAK,2024-07-28,0PLdM000001KGJeWAO,2024-07-27T19:45:58Z,0,0,FieldServiceDispatcherPsl,Field Service Dispatcher,1
5H1dM000003HcDiSAK,2024-07-28,0PLdM000001KGJZWA4,2024-07-27T19:45:58Z,0,0,SalesEngagementBasicPsl,Sales Engagement Basic,100
5H1dM0000046pT9SAI,2024-08-04,0PLdM000001KGJmWAO,2024-08-03T19:43:48Z,0,0,FieldServiceScheduling,Field Service Scheduling,0
5H1dM0000046pTASAY,2024-08-04,0PLdM000001KGJnWAO,2024-08-03T19:43:48Z,0,0,SalesUserPsl,Sales User,1
5H1dM0000046pTBSAY,2024-08-04,0PLdM000001KGJSWA4,2024-08-03T19:43:48Z,0,0,CommerceBusinessUserPsl,Commerce Business User,0
5H1dM0000046pTCSAY,2024-08-04,0PLdM000001KGJOWA4,2024-08-03T19:43:48Z,0,0,StandardEinsteinActivityCapturePsl,Standard Einstein Activity Capture User,100
5H1dM0000046pTDSAY,2024-08-04,0PLdM000001KGJNWA4,2024-08-03T19:43:48Z,0,0,IsotopePermissionSet,Isotope Permission Set,0
5H1dM0000046pTESAY,2024-08-04,0PLdM000001KGJXWA4,2024-08-03T19:43:48Z,0,0,CommerceMerchandiserUserPsl,Commerce Merchandiser User Permission Set License Seat,20
5H1dM0000046pTFSAY,2024-08-04,0PLdM000001KGJTWA4,2024-08-03T19:43:48Z,0,0,B2BBuyerPsl,B2B Buyer Permission Set One Seat,20
5H1dM0000046pTGSAY,2024-08-04,0PLdM000001KGJqWAO,2024-08-03T19:43:48Z,0,0,ServiceUserPsl,Service User,1
5H1dM0000046pTHSAY,2024-08-04,0PLdM000001KGJVWA4,2024-08-03T19:43:48Z,0,0,CommerceAdminUserPsl,Commerce Admin Permission Set License Seat,20
5H1dM0000046pTISAY,2024-08-04,0PLdM000001KGknWAG,2024-08-03T19:43:48Z,0,0,EnablementLitePsl,Enablement Lite,15
5H1dM0000046pTJSAY,2024-08-04,0PLdM000001KGJfWAO,2024-08-03T19:43:48Z,0,0,FieldServiceStandardPsl,Field Service Standard,5
5H1dM0000046pTKSAY,2024-08-04,0PLdM000001KGJUWA4,2024-08-03T19:43:48Z,0,0,CommerceUserPsl,Commerce User,20
5H1dM0000046pTLSAY,2024-08-04,0PLdM000001KGJpWAO,2024-08-03T19:43:48Z,0,0,FieldServiceDispatcher,Field Service Dispatcher,0
5H1dM0000046pTMSAY,2024-08-04,0PLdM000001KGJbWAO,2024-08-03T19:43:48Z,0,0,CRMUserPsl,CRM User,1
5H1dM0000046pTNSAY,2024-08-04,0PLdM000001KGJgWAO,2024-08-03T19:43:48Z,0,0,IdentityConnect,Identity Connect,10
5H1dM0000046pTOSAY,2024-08-04,0PLdM000001KGJPWA4,2024-08-03T19:43:48Z,0,0,SalesforceCPQ_CPQAAPerm,Salesforce CPQ AA License,2
5H1dM0000046pTPSAY,2024-08-04,0PLdM000001KGJQWA4,2024-08-03T19:43:48Z,0,0,SalesforceCPQ_CPQStandardPerm,Salesforce CPQ License,2
5H1dM0000046pTQSAY,2024-08-04,0PLdM000001KGJdWAO,2024-08-03T19:43:48Z,0,0,FieldServiceMobilePsl,Field Service Mobile,1
5H1dM0000046pTRSAY,2024-08-04,0PLdM000001KGJWWA4,2024-08-03T19:43:48Z,0,0,SlackServiceUserPsl,Slack Service User,1
5H1dM0000046pTSSAY,2024-08-04,0PLdM000001KGJcWAO,2024-08-03T19:43:48Z,0,0,FieldServiceSchedulingPsl,Field Service Scheduling,1
5H1dM0000046pTTSAY,2024-08-04,0PLdM000001KGJjWAO,2024-08-03T19:43:48Z,0,0,InsightsBuilderPsl,Analytics Cloud Builder,0
5H1dM0000046pTUSAY,2024-08-04,0PLdM000001KGJhWAO,2024-08-03T19:43:48Z,0,0,ContractsOrdersProductsPsl,Orders Platform,2
5H1dM0000046pTVSAY,2024-08-04,0PLdM000001KGJoWAO,2024-08-03T19:43:48Z,0,0,FieldServiceStandard,Field Service Standard,0
5H1dM0000046pTWSAY,2024-08-04,0PLdM000001KGJlWAO,2024-08-03T19:43:48Z,0,0,FieldServiceMobile,Field Service Mobile,0
5H1dM0000046pTXSAY,2024-08-04,0PLdM000001KGJYWA4,2024-08-03T19:43:48Z,0,0,SalesforceAPIIntegrationPsl,Salesforce API Integration,1
5H1dM0000046pTYSAY,2024-08-04,0PLdM000001KGJiWAO,2024-08-03T19:43:48Z,0,0,SalesConsoleUser,Sales Console User,2
5H1dM0000046pTZSAY,2024-08-04,0PLdM000001KGJkWAO,2024-08-03T19:43:48Z,0,0,InsightsExplorerPsl,Analytics Cloud Explorer,0
5H1dM0000046pTaSAI,2024-08-04,0PLdM000001KGJaWAO,2024-08-03T19:43:48Z,0,0,EmbeddedServiceMessagingUserPsl,Messaging for In-App and Web User,5
5H1dM0000046pTbSAI,2024-08-04,0PLdM000001KGJRWA4,2024-08-03T19:43:48Z,0,0,B2BBuyerManagerPsl,B2B Buyer Manager Permission Set One Seat,20
5H1dM0000046pTcSAI,2024-08-04,0PLdM000001KGJeWAO,2024-08-03T19:43:48Z,0,0,FieldServiceDispatcherPsl,Field Service Dispatcher,1
5H1dM0000046pTdSAI,2024-08-04,0PLdM000001KGJZWA4,2024-08-03T19:43:48Z,0,0,SalesEngagementBasicPsl,Sales Engagement Basic,100
5H1dM000004MbtRSAS,2024-08-11,0PLdM000001KGJmWAO,2024-08-10T19:40:45Z,0,0,FieldServiceScheduling,Field Service Scheduling,0
5H1dM000004MbtSSAS,2024-08-11,0PLdM000001KGJnWAO,2024-08-10T19:40:45Z,0,0,SalesUserPsl,Sales User,1
5H1dM000004MbtTSAS,2024-08-11,0PLdM000001KGJSWA4,2024-08-10T19:40:45Z,0,0,CommerceBusinessUserPsl,Commerce Business User,0
5H1dM000004MbtUSAS,2024-08-11,0PLdM000001KGJOWA4,2024-08-10T19:40:45Z,0,0,StandardEinsteinActivityCapturePsl,Standard Einstein Activity Capture User,100
5H1dM000004MbtVSAS,2024-08-11,0PLdM000001KGJNWA4,2024-08-10T19:40:45Z,0,0,IsotopePermissionSet,Isotope Permission Set,0
5H1dM000004MbtWSAS,2024-08-11,0PLdM000001KGJXWA4,2024-08-10T19:40:45Z,0,0,CommerceMerchandiserUserPsl,Commerce Merchandiser User Permission Set License Seat,20
