Id,Action,Section,CreatedDate,CreatedById,Display,DelegateUser,ResponsibleNamespacePrefix,CreatedByContext,CreatedByIssuer
0YmdM0000048K3KSAU,createdCFCustom,Custom Objects,1720591798000,005dM000004WE3FQAW,Created custom field Beds (Number) on Properties,,,,
0YmdM0000048K3LSAU,createdCFLookupCustom,Custom Objects,1720591798000,005dM000004WE3FQAW,Created custom lookup relationship Broker (Broker) on Properties,,,,
0YmdM0000048K3MSAU,createdCFCustom,Custom Objects,1720591798000,005dM000004WE3FQAW,Created custom field City (Text) on Properties,,,,
0YmdM0000048K3NSAU,createdCFCustom,Custom Objects,1720591798000,005dM000004WE3FQAW,Created custom field Date Agreement (Date) on Properties,,,,
0YmdM0000048K3OSAU,createdCFCustom,Custom Objects,1720591798000,005dM000004WE3FQAW,Created custom field Date Closed (Date) on Properties,,,,
0YmdM0000048K3PSAU,createdCFCustom,Custom Objects,1720591798000,005dM000004WE3FQAW,Created custom field Date Contracted (Date) on Properties,,,,
0YmdM0000048K3QSAU,createdCFCustom,Custom Objects,1720591798000,005dM000004WE3FQAW,Created custom field Date Listed (Date) on Properties,,,,
0YmdM0000048K3RSAU,createdCFCustom,Custom Objects,1720591798000,005dM000004WE3FQAW,Created custom field Date Pre Market (Date) on Properties,,,,
0YmdM0000048K3SSAU,createdCFCustom,Custom Objects,1720591798000,005dM000004WE3FQAW,Created custom field Description (Long Text Area) on Properties,,,,
0YmdM0000048K3TSAU,createdCFCustom,Custom Objects,1720591798000,005dM000004WE3FQAW,Created custom field Location (Geolocation) on Properties,,,,
0YmdM0000048K3USAU,createdCFCustom,Custom Objects,1720591798000,005dM000004WE3FQAW,Created custom field Picture (URL) on Properties,,,,
0YmdM0000048K3VSAU,createdCFCustom,Custom Objects,1720591798000,005dM000004WE3FQAW,Created custom field Price Sold (Currency) on Properties,,,,
0YmdM0000048K3WSAU,createdCFCustom,Custom Objects,1720591798000,005dM000004WE3FQAW,Created custom field Asking Price (Currency) on Properties,,,,
0YmdM0000048K3XSAU,entity_history_field_tracked,Track Field History,1720591798000,005dM000004WE3FQAW,Track History for Property field Asking Price on,,,,
0YmdM0000048K3YSAU,feed_field_tracked,Feed Tracking,1720591799000,005dM000004WE3FQAW,Feed Tracking for Property field Asking Price on,,,,
0YmdM0000048K3ZSAU,createdCFFormulaCustom,Custom Objects,1720591799000,005dM000004WE3FQAW,Created custom formula field Record Link (Text) on Properties,,,,
0YmdM0000048K3aSAE,createdCFCustom,Custom Objects,1720591799000,005dM000004WE3FQAW,Created custom field State (Text) on Properties,,,,
0YmdM0000048K3bSAE,createdCFCustom,Custom Objects,1720591799000,005dM000004WE3FQAW,Created custom field Status (Picklist) on Properties,,,,
0YmdM0000048K3cSAE,feed_field_tracked,Feed Tracking,1720591799000,005dM000004WE3FQAW,Feed Tracking for Property field Status on,,,,
0YmdM0000048K3dSAE,createdCFCustom,Custom Objects,1720591799000,005dM000004WE3FQAW,Created custom field Tags (Text) on Properties,,,,
0YmdM0000048K3eSAE,createdCFCustom,Custom Objects,1720591799000,005dM000004WE3FQAW,Created custom field Thumbnail (URL) on Properties,,,,
0YmdM0000048K3fSAE,createdCFCustom,Custom Objects,1720591799000,005dM000004WE3FQAW,Created custom field Zip (Text) on Properties,,,,
0YmdM0000048K3gSAE,createdCFFormulaCustom,Custom Objects,1720591799000,005dM000004WE3FQAW,Created custom formula field Picture (Text) on Brokers,,,,
0YmdM0000048K3hSAE,createdCFFormulaCustom,Custom Objects,1720591799000,005dM000004WE3FQAW,Created custom formula field Days On Market (Number) on Properties,,,,
0YmdM0000048K3iSAE,createdCFFormulaCustom,Custom Objects,1720591799000,005dM000004WE3FQAW,Created custom formula field Main Picture (Text) on Properties,,,,
0YmdM0000048K3jSAE,createdCFFormulaCustom,Custom Objects,1720591799000,005dM000004WE3FQAW,Created custom formula field Main Thumbnail (Text) on Properties,,,,
0YmdM0000048K3kSAE,createdCompactLayout,Custom Objects,1720591799000,005dM000004WE3FQAW,Created Compact Layout Broker_Compact on Broker,,,,
0YmdM0000048K3lSAE,createdCompactLayout,Custom Objects,1720591799000,005dM000004WE3FQAW,Created Compact Layout Property_Compact_Layout on Property,,,,
0YmdM0000048K3mSAE,changedCFFormulaCustom,Custom Objects,1720591800000,005dM000004WE3FQAW,"Changed formula of Picture custom field on Brokers from """""""" to ""IMAGE( Picture__c , ""picture"" , 150, 150)""",,,,
0YmdM0000048K3nSAE,changedCFFormulaCustom,Custom Objects,1720591800000,005dM000004WE3FQAW,"Changed formula of Days On Market custom field on Properties from """""""" to ""TODAY() - Date_Listed__c""",,,,
0YmdM0000048K3oSAE,changedCFFormulaCustom,Custom Objects,1720591800000,005dM000004WE3FQAW,"Changed formula of Main Picture custom field on Properties from """""""" to ""if(ISBLANK(Picture__c), '', IMAGE(Picture__c, ""Picture""))""",,,,
0YmdM0000048K3pSAE,changedCFFormulaCustom,Custom Objects,1720591800000,005dM000004WE3FQAW,"Changed formula of Main Thumbnail custom field on Properties from """""""" to ""if(ISBLANK(Thumbnail__c), """", IMAGE(Thumbnail__c, ""Picture"", 200, 200))""",,,,
0YmdM0000048K3qSAE,custentlayout,Custom Objects,1720591801000,005dM000004WE3FQAW,Changed Broker page layout Broker Layout,,,,
0YmdM0000048K3rSAE,custentlayout,Custom Objects,1720591801000,005dM000004WE3FQAW,Changed Property page layout Property Layout,,,,
0YmdM0000048K3sSAE,createdFlexiPage,Lightning Pages,1720591801000,005dM000004WE3FQAW,Created Lightning Page: Broker Record Page,,,,
0YmdM0000048K3tSAE,createdFlexiPage,Lightning Pages,1720591802000,005dM000004WE3FQAW,Created Lightning Page: Property Finder,,,,
0YmdM0000048K3uSAE,createdFlexiPage,Lightning Pages,1720591802000,005dM000004WE3FQAW,Created Lightning Page: Property Record Page,,,,
0YmdM0000048K3vSAE,createdFlexiPage,Lightning Pages,1720591804000,005dM000004WE3FQAW,Created Lightning Page: Settings,,,,
0YmdM0000048K3wSAE,createdFlexiPage,Lightning Pages,1720591804000,005dM000004WE3FQAW,Created Lightning Page: Property Explorer,,,,
0YmdM0000048K3xSAE,createdCustEntTab,Custom Tabs,1720591805000,005dM000004WE3FQAW,Created custom object tab: Brokers,,,,
0YmdM0000048K3ySAE,createdCustomTab,Custom Tabs,1720591805000,005dM000004WE3FQAW,Created custom Lightning Page tab: Property Explorer,,,,
0YmdM0000048K3zSAE,createdCustomTab,Custom Tabs,1720591805000,005dM000004WE3FQAW,Created custom Lightning Page tab: Property Finder,,,,
0YmdM0000048K40SAE,createdCustEntTab,Custom Tabs,1720591805000,005dM000004WE3FQAW,Created custom object tab: Properties,,,,
0YmdM0000048K41SAE,createdCustomTab,Custom Tabs,1720591805000,005dM000004WE3FQAW,Created custom Lightning Page tab: Settings,,,,
0YmdM0000048K42SAE,createdTabSet,Custom Apps,1720591805000,005dM000004WE3FQAW,Created custom app Dreamhouse,,,,
0YmdM0000048K43SAE,createdActionOverrideCustom,Custom Objects,1720591805000,005dM000004WE3FQAW,Added standard button override on Brokers: View (Lightning Page null),,,,
0YmdM0000048K44SAE,createdActionOverrideCustom,Custom Objects,1720591805000,005dM000004WE3FQAW,Added standard button override on Brokers: View (Lightning Page null),,,,
0YmdM0000048KXHSA2,value_MAX_STREAMING_TOPICS_PROV,,1720590919000,005dM000004WWvLQAW,Max number of streaming topics,,,,
0YmdM0000048OkcSAE,createdCF,Customize Contacts,1720592659000,005dM000004WE3FQAW,Created custom field: Loan Amount (Currency),,,,
0YmdM0000048OkdSAE,contactlayout,Customize Contacts,1720592659000,005dM000004WE3FQAW,Changed Contact page layout Contact (Marketing) Layout,,,,
0YmdM0000048OkeSAE,contactlayout,Customize Contacts,1720592659000,005dM000004WE3FQAW,Changed Contact page layout Contact (Sales) Layout,,,,
0YmdM0000048OkfSAE,contactlayout,Customize Contacts,1720592659000,005dM000004WE3FQAW,Changed Contact page layout Contact (Support) Layout,,,,
0YmdM0000048OkgSAE,contactlayout,Customize Contacts,1720592659000,005dM000004WE3FQAW,Changed Contact page layout Contact Layout,,,,
0YmdM0000048PhASAU,createdCustEntTab,Custom Tabs,1720596955000,005dM000004WE3FQAW,Created custom object tab: Properties,,,,
0YmdM0000048QCjSAM,createdActionOverrideCustom,Custom Objects,1720591805000,005dM000004WE3FQAW,Added standard button override on Properties: View (Lightning Page null),,,,
0YmdM0000048QCkSAM,createdActionOverrideCustom,Custom Objects,1720591805000,005dM000004WE3FQAW,Added standard button override on Properties: View (Lightning Page null),,,,
0YmdM0000048QClSAM,createdinteractiondefinition,Flows,1720591805000,005dM000004WE3FQAW,"Created flow with Name ""Create Property"" and Unique Name ""Create_property""",,,,
0YmdM0000048QCmSAM,createdApexClass,Apex Class,1720591806000,005dM000004WE3FQAW,Created GeocodingService Apex Class code,,,,
0YmdM0000048QCnSAM,createdApexClass,Apex Class,1720591806000,005dM000004WE3FQAW,Created GeocodingServiceTest Apex Class code,,,,
0YmdM0000048QCoSAM,createdApexClass,Apex Class,1720591806000,005dM000004WE3FQAW,Created PagedResult Apex Class code,,,,
0YmdM0000048QCpSAM,createdApexClass,Apex Class,1720591806000,005dM000004WE3FQAW,Created PropertyController Apex Class code,,,,
0YmdM0000048QCqSAM,createdApexClass,Apex Class,1720591806000,005dM000004WE3FQAW,Created SampleDataController Apex Class code,,,,
0YmdM0000048QCrSAM,createdApexClass,Apex Class,1720591806000,005dM000004WE3FQAW,Created TestPropertyController Apex Class code,,,,
0YmdM0000048QCsSAM,createdApexClass,Apex Class,1720591806000,005dM000004WE3FQAW,Created TestSampleDataController Apex Class code,,,,
0YmdM0000048QCtSAM,PermSetTabSettingsChangedNew,Manage Users,1720591807000,005dM000004WE3FQAW,Changed permission set dreamhouse: Brokers tab was changed from None to Visible,,,,
0YmdM0000048QCuSAM,PermSetTabSettingsChangedNew,Manage Users,1720591807000,005dM000004WE3FQAW,Changed permission set dreamhouse: Property Explorer tab was changed from None to Visible,,,,
0YmdM0000048QCvSAM,PermSetTabSettingsChangedNew,Manage Users,1720591807000,005dM000004WE3FQAW,Changed permission set dreamhouse: Property Finder tab was changed from None to Visible,,,,
0YmdM0000048QCwSAM,PermSetTabSettingsChangedNew,Manage Users,1720591807000,005dM000004WE3FQAW,Changed permission set dreamhouse: Properties tab was changed from None to Visible,,,,
0YmdM0000048QCxSAM,PermSetTabSettingsChangedNew,Manage Users,1720591807000,005dM000004WE3FQAW,Changed permission set dreamhouse: Settings tab was changed from None to Visible,,,,
0YmdM0000048QCySAM,PermSetCreateNoLicense,Manage Users,1720591807000,005dM000004WE3FQAW,Created permission set dreamhouse: with no license,,,,
0YmdM0000048QCzSAM,remoteproxy,Security Controls,1720591808000,005dM000004WE3FQAW,Remote Proxy insert nominatim_openstreetmap: https://nominatim.openstreetmap.org,,,,
0YmdM0000048QD0SAM,updatedDefaultCompactLayoutMapping,Custom Objects,1720591810000,005dM000004WE3FQAW,Broker primary Compact Layout was changed from System Default to Broker Compact,,,,
0YmdM0000048QD1SAM,updatedDefaultCompactLayoutMapping,Custom Objects,1720591810000,005dM000004WE3FQAW,Property primary Compact Layout was changed from System Default to Property Compact Layout,,,,
