Id,UsersId,CreatedDate,LastModifiedDate,NumSecondsValid,UserType,SourceIp,LoginType,SessionType,SessionSecurityLevel,LogoutUrl,ParentId,LoginHistoryId,LoginGeoId,IsCurrent
0AkdM00000AzGFkSAN,005dM000004WE3FQAW,2024-09-17T04:20:48Z,2024-09-17T05:19:32Z,7200,Standard,136.226.233.32,Application,UI,STANDARD,,,0YadM000009VIQSSA4,04FdM00000943AaUAI,False
0AkdM00000AzGFmSAN,005dM000004WE3FQAW,2024-09-17T04:20:48Z,2024-09-17T04:20:48Z,7200,Standard,136.226.233.32,Application,Content,STANDARD,,0AkdM00000AzGFkSAN,0YadM000009VIQSSA4,04FdM00000943AaUAI,False
0AkdM00000AzJMzSAN,005dM000004WE3FQAW,2024-09-17T04:20:49Z,2024-09-17T05:19:32Z,7200,Standard,136.226.233.32,Application,Aura,STANDARD,,0AkdM00000AzGFkSAN,0YadM000009VIQSSA4,04FdM00000943AaUAI,False
0AkdM00000AzKhFSAV,005dM000004WE3FQAW,2024-09-17T04:20:54Z,2024-09-17T04:20:48Z,7200,Standard,136.226.233.32,Application,InternalServiceCall,STANDARD,,0AkdM00000AzGFkSAN,0YadM000009VIQSSA4,04FdM00000943AaUAI,False
0AkdM00000AzL7tSAF,005dM000004WE3FQAW,2024-09-17T04:50:32Z,2024-09-17T05:29:02Z,7200,Standard,35.239.138.86,Other Apex API,API,STANDARD,,,0YadM000009VR5oSAG,04FdM0000094Bl6UAE,False
