Id,ContentDocumentId,IsLatest,ContentUrl,ContentBodyId,VersionNumber,Title,Description,ReasonForChange,SharingOption,SharingPrivacy,PathOnClient,RatingCount,IsDeleted,ContentModifiedDate,ContentModifiedById,PositiveRatingCount,NegativeRatingCount,FeaturedContentBoost,FeaturedContentDate,OwnerId,CreatedById,CreatedDate,LastModifiedById,LastModifiedDate,SystemModstamp,TagCsv,FileType,PublishStatus,VersionData,ContentSize,FileExtension,FirstPublishLocationId,Origin,ContentLocation,TextPreview,ExternalDocumentInfo1,ExternalDocumentInfo2,ExternalDataSourceId,Checksum,IsMajorVersion,IsAssetEnabled,VersionDataUrl
068dM000004lqs7QAA,069dM000006cViVQAU,True,,05TdM000005FCdxUAG,1,ContentVersion_Backup_2024-09-16.csv,,,A,N,ContentVersion_Backup_2024-09-16.csv,0,False,2024-09-16T10:07:30.000+0000,005dM000004WE3FQAW,0,0,,,005dM000004WE3FQAW,005dM000004WE3FQAW,2024-09-16T10:07:30.000+0000,005dM000004WE3FQAW,2024-09-16T10:07:30.000+0000,2024-09-16T10:07:30.000+0000,,CSV,R,/services/data/v59.0/sobjects/ContentVersion/068dM000004lqs7QAA/VersionData,21310,csv,005dM000004WE3FQAW,C,S,,,,,b87ec77a35211dc905ac6efb3f844a14,True,False,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.file.force.com/sfc/servlet.shepherd/version/download/068dM000004lqs7
068dM000004lqtiQAA,069dM000006cVk6QAE,True,,05TdM000005FCysUAG,1,LoginIp_Backup_2024-09-16.csv,,,A,N,LoginIp_Backup_2024-09-16.csv,0,False,2024-09-16T10:18:48.000+0000,005dM000004WE3FQAW,0,0,,,005dM000004WE3FQAW,005dM000004WE3FQAW,2024-09-16T10:18:48.000+0000,005dM000004WE3FQAW,2024-09-16T10:18:48.000+0000,2024-09-16T10:18:49.000+0000,,CSV,R,/services/data/v59.0/sobjects/ContentVersion/068dM000004lqtiQAA/VersionData,390,csv,005dM000004WE3FQAW,C,S,,,,,3ebb0e000237cb894d55a2157a8a90a2,True,False,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.file.force.com/sfc/servlet.shepherd/version/download/068dM000004lqti
068dM000004lr0AQAQ,069dM000006cVqYQAU,True,,05TdM000005FD5LUAW,1,Contact_Backup_2024-09-16.csv,,,A,N,Contact_Backup_2024-09-16.csv,0,False,2024-09-16T10:06:34.000+0000,005dM000004WE3FQAW,0,0,,,005dM000004WE3FQAW,005dM000004WE3FQAW,2024-09-16T10:06:34.000+0000,005dM000004WE3FQAW,2024-09-16T10:06:34.000+0000,2024-09-16T10:06:35.000+0000,,CSV,R,/services/data/v59.0/sobjects/ContentVersion/068dM000004lr0AQAQ/VersionData,11374,csv,005dM000004WE3FQAW,C,S,,,,,0582bf393241b4d0e732318d4808e61a,True,False,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.file.force.com/sfc/servlet.shepherd/version/download/068dM000004lr0A
068dM000004lr0CQAQ,069dM000006cVqaQAE,True,,05TdM000005FD5OUAW,1,RecentlyViewed_Backup_2024-09-16.csv,,,A,N,RecentlyViewed_Backup_2024-09-16.csv,0,False,2024-09-16T10:26:28.000+0000,005dM000004WE3FQAW,0,0,,,005dM000004WE3FQAW,005dM000004WE3FQAW,2024-09-16T10:26:28.000+0000,005dM000004WE3FQAW,2024-09-16T10:26:28.000+0000,2024-09-16T10:26:28.000+0000,,CSV,R,/services/data/v59.0/sobjects/ContentVersion/068dM000004lr0CQAQ/VersionData,26852,csv,005dM000004WE3FQAW,C,S,,,,,469920d349e2595dea41bf425f668a44,True,False,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.file.force.com/sfc/servlet.shepherd/version/download/068dM000004lr0C
068dM000004lr1mQAA,069dM000006cVsAQAU,True,,05TdM000005FD8bUAG,1,GroupMember_Backup_2024-09-16.csv,,,A,N,GroupMember_Backup_2024-09-16.csv,0,False,2024-09-16T10:16:21.000+0000,005dM000004WE3FQAW,0,0,,,005dM000004WE3FQAW,005dM000004WE3FQAW,2024-09-16T10:16:21.000+0000,005dM000004WE3FQAW,2024-09-16T10:16:21.000+0000,2024-09-16T10:16:22.000+0000,,CSV,R,/services/data/v59.0/sobjects/ContentVersion/068dM000004lr1mQAA/VersionData,111,csv,005dM000004WE3FQAW,C,S,,,,,79cdf0e10a2fc0646594448030369372,True,False,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.file.force.com/sfc/servlet.shepherd/version/download/068dM000004lr1m
068dM000004lrZiQAI,069dM000006cWpuQAE,True,,05TdM000005FC1LUAW,1,LeadStatus_Backup_2024-09-16.csv,,,A,N,LeadStatus_Backup_2024-09-16.csv,0,False,2024-09-16T10:17:26.000+0000,005dM000004WE3FQAW,0,0,,,005dM000004WE3FQAW,005dM000004WE3FQAW,2024-09-16T10:17:26.000+0000,005dM000004WE3FQAW,2024-09-16T10:17:26.000+0000,2024-09-16T10:17:27.000+0000,,CSV,R,/services/data/v59.0/sobjects/ContentVersion/068dM000004lrZiQAI/VersionData,744,csv,005dM000004WE3FQAW,C,S,,,,,bb5e467de6681b4ec6575410434c7e1d,True,False,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.file.force.com/sfc/servlet.shepherd/version/download/068dM000004lrZi
068dM000004lrqfQAA,069dM000006cX6rQAE,True,,05TdM000005FDqzUAG,1,AuraDefinitionBundle_Backup_2024-09-16.csv,,,A,N,AuraDefinitionBundle_Backup_2024-09-16.csv,0,False,2024-09-16T10:01:50.000+0000,005dM000004WE3FQAW,0,0,,,005dM000004WE3FQAW,005dM000004WE3FQAW,2024-09-16T10:01:50.000+0000,005dM000004WE3FQAW,2024-09-16T10:01:50.000+0000,2024-09-16T10:01:50.000+0000,,CSV,R,/services/data/v59.0/sobjects/ContentVersion/068dM000004lrqfQAA/VersionData,1775,csv,005dM000004WE3FQAW,C,S,,,,,91f11bb77e92aefaff4b9eee6b8302df,True,False,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.file.force.com/sfc/servlet.shepherd/version/download/068dM000004lrqf
068dM000004ls5vQAA,069dM000006cXM7QAM,True,,05TdM000005FE4eUAG,1,User_Backup_2024-09-16.csv,,,A,N,User_Backup_2024-09-16.csv,0,False,2024-09-16T10:30:54.000+0000,005dM000004WE3FQAW,0,0,,,005dM000004WE3FQAW,005dM000004WE3FQAW,2024-09-16T10:30:54.000+0000,005dM000004WE3FQAW,2024-09-16T10:30:54.000+0000,2024-09-16T10:30:54.000+0000,,CSV,R,/services/data/v59.0/sobjects/ContentVersion/068dM000004ls5vQAA/VersionData,17320,csv,005dM000004WE3FQAW,C,S,,,,,c1db85b78a1db4815439302c34355619,True,False,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.file.force.com/sfc/servlet.shepherd/version/download/068dM000004ls5v
068dM000004lsFaQAI,069dM000006cXh4QAE,True,,05TdM000005FHP7UAO,1,ApexClass_Backup_2024-09-16.csv,,,A,N,ApexClass_Backup_2024-09-16.csv,0,False,2024-09-16T09:59:47.000+0000,005dM000004WE3FQAW,0,0,,,005dM000004WE3FQAW,005dM000004WE3FQAW,2024-09-16T09:59:47.000+0000,005dM000004WE3FQAW,2024-09-16T09:59:47.000+0000,2024-09-16T09:59:48.000+0000,,CSV,R,/services/data/v59.0/sobjects/ContentVersion/068dM000004lsFaQAI/VersionData,23191,csv,005dM000004WE3FQAW,C,S,,,,,41ff03eb5a036bdd0c82dd058d940429,True,False,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.file.force.com/sfc/servlet.shepherd/version/download/068dM000004lsFa
068dM000004lsLJQAY,069dM000006cXmnQAE,True,,05TdM000005FEThUAO,1,BusinessHours_Backup_2024-09-16.csv,,,A,N,BusinessHours_Backup_2024-09-16.csv,0,False,2024-09-16T10:04:02.000+0000,005dM000004WE3FQAW,0,0,,,005dM000004WE3FQAW,005dM000004WE3FQAW,2024-09-16T10:04:02.000+0000,005dM000004WE3FQAW,2024-09-16T10:04:02.000+0000,2024-09-16T10:04:02.000+0000,,CSV,R,/services/data/v59.0/sobjects/ContentVersion/068dM000004lsLJQAY/VersionData,703,csv,005dM000004WE3FQAW,C,S,,,,,de2184c4c0e50650c4d8f6f8cf579d3f,True,False,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.file.force.com/sfc/servlet.shepherd/version/download/068dM000004lsLJ
