Id,Name,Type,PermissionsManageWorkspace,PermissionsAddContent,PermissionsAddContentOBO,PermissionsArchiveContent,PermissionsDeleteContent,PermissionsFeatureContent,PermissionsViewComments,PermissionsAddComment,PermissionsModifyComments,PermissionsTagContent,PermissionsDeliverContent,PermissionsChatterSharing,PermissionsOrganizeFileAndFolder,CreatedById,CreatedDate,LastModifiedDate,SystemModstamp,LastModifiedById,Description
05PdM000000vQnNUAU,Library Administrator,Admin,True,False,False,False,False,False,False,False,False,False,False,False,False,005dM000004WE3FQAW,2024-07-10T05:50:30Z,2024-07-10T05:50:30Z,2024-07-10T05:50:30Z,005dM000004WE3FQAW,
05PdM000000vQnOUAU,Author,Author,False,True,True,True,False,False,False,True,False,True,True,True,False,005dM000004WE3FQAW,2024-07-10T05:50:30Z,2024-07-10T05:50:30Z,2024-07-10T05:50:30Z,005dM000004WE3FQAW,
05PdM000000vQnPUAU,Viewer,Viewer,False,False,False,False,False,False,False,True,False,False,True,True,False,005dM000004WE3FQAW,2024-07-10T05:50:30Z,2024-07-10T05:50:30Z,2024-07-10T05:50:30Z,005dM000004WE3FQAW,
