Id,DurableId,FunctionId,Type
000000000000000AAA,VISUALFORCE-ACOS,ACOS,VISUALFORCE
000000000000000AAA,VISUALFORCE-ADDMONTHS,ADDMONTHS,VISUALFORCE
000000000000000AAA,VISUALFORCE-AND,AND,VISUALFORCE
000000000000000AAA,VISUALFORCE-ASCII,ASCII,VISUALFORCE
000000000000000AAA,VISUALFORCE-ASIN,ASIN,VISUALFORCE
000000000000000AAA,VISUALFORCE-ATAN,ATAN,VISUALFORCE
000000000000000AAA,VISUALFORCE-ATAN2,ATAN2,VISUALFORCE
000000000000000AAA,VISUALFORCE-BEGINS,BEGINS,VISUALFORCE
000000000000000AAA,VISUALFORCE-BLANKVALUE,BLANKVALUE,VISUALFORCE
000000000000000AAA,VISUALFORCE-BR,BR,VISUALFORCE
000000000000000AAA,VISUALFORCE-CASE,CASE,VISUALFORCE
000000000000000AAA,VISUALFORCE-CASESAFEID,CASESAFEID,VISUALFORCE
000000000000000AAA,VISUALFORCE-CEILING,CEILING,VISUALFORCE
000000000000000AAA,VISUALFORCE-CHR,CHR,VISUALFORCE
000000000000000AAA,VISUALFORCE-CONTAINS,CONTAINS,VISUALFORCE
000000000000000AAA,VISUALFORCE-COS,COS,VISUALFORCE
000000000000000AAA,VISUALFORCE-CURRENCYRATE,CURRENCYRATE,VISUALFORCE
000000000000000AAA,VISUALFORCE-DATE,DATE,VISUALFORCE
000000000000000AAA,VISUALFORCE-DATETIMEVALUE,DATETIMEVALUE,VISUALFORCE
000000000000000AAA,VISUALFORCE-DATEVALUE,DATEVALUE,VISUALFORCE
000000000000000AAA,VISUALFORCE-DAY,DAY,VISUALFORCE
000000000000000AAA,VISUALFORCE-DAYOFYEAR,DAYOFYEAR,VISUALFORCE
000000000000000AAA,VISUALFORCE-EXP,EXP,VISUALFORCE
000000000000000AAA,VISUALFORCE-FIND,FIND,VISUALFORCE
000000000000000AAA,VISUALFORCE-FLOOR,FLOOR,VISUALFORCE
000000000000000AAA,VISUALFORCE-FORMATDURATION,FORMATDURATION,VISUALFORCE
000000000000000AAA,VISUALFORCE-FROMUNIXTIME,FROMUNIXTIME,VISUALFORCE
000000000000000AAA,VISUALFORCE-GETRECORDIDS,GETRECORDIDS,VISUALFORCE
000000000000000AAA,VISUALFORCE-GETSESSIONID,GETSESSIONID,VISUALFORCE
000000000000000AAA,VISUALFORCE-HOUR,HOUR,VISUALFORCE
000000000000000AAA,VISUALFORCE-HTMLENCODE,HTMLENCODE,VISUALFORCE
000000000000000AAA,VISUALFORCE-IF,IF,VISUALFORCE
000000000000000AAA,VISUALFORCE-INITCAP,INITCAP,VISUALFORCE
000000000000000AAA,VISUALFORCE-ISBLANK,ISBLANK,VISUALFORCE
000000000000000AAA,VISUALFORCE-ISNULL,ISNULL,VISUALFORCE
000000000000000AAA,VISUALFORCE-ISNUMBER,ISNUMBER,VISUALFORCE
000000000000000AAA,VISUALFORCE-ISOWEEK,ISOWEEK,VISUALFORCE
000000000000000AAA,VISUALFORCE-ISOYEAR,ISOYEAR,VISUALFORCE
000000000000000AAA,VISUALFORCE-ISPICKVAL,ISPICKVAL,VISUALFORCE
000000000000000AAA,VISUALFORCE-JSENCODE,JSENCODE,VISUALFORCE
000000000000000AAA,VISUALFORCE-JSINHTMLENCODE,JSINHTMLENCODE,VISUALFORCE
000000000000000AAA,VISUALFORCE-LEFT,LEFT,VISUALFORCE
000000000000000AAA,VISUALFORCE-LEN,LEN,VISUALFORCE
000000000000000AAA,VISUALFORCE-LINKTO,LINKTO,VISUALFORCE
000000000000000AAA,VISUALFORCE-LN,LN,VISUALFORCE
000000000000000AAA,VISUALFORCE-LOG,LOG,VISUALFORCE
000000000000000AAA,VISUALFORCE-LOWER,LOWER,VISUALFORCE
000000000000000AAA,VISUALFORCE-LPAD,LPAD,VISUALFORCE
000000000000000AAA,VISUALFORCE-MAX,MAX,VISUALFORCE
000000000000000AAA,VISUALFORCE-MCEILING,MCEILING,VISUALFORCE
000000000000000AAA,VISUALFORCE-MFLOOR,MFLOOR,VISUALFORCE
000000000000000AAA,VISUALFORCE-MID,MID,VISUALFORCE
000000000000000AAA,VISUALFORCE-MILLISECOND,MILLISECOND,VISUALFORCE
000000000000000AAA,VISUALFORCE-MIN,MIN,VISUALFORCE
000000000000000AAA,VISUALFORCE-MINUTE,MINUTE,VISUALFORCE
000000000000000AAA,VISUALFORCE-MOD,MOD,VISUALFORCE
000000000000000AAA,VISUALFORCE-MONTH,MONTH,VISUALFORCE
000000000000000AAA,VISUALFORCE-NOT,NOT,VISUALFORCE
000000000000000AAA,VISUALFORCE-NOW,NOW,VISUALFORCE
000000000000000AAA,VISUALFORCE-NULLVALUE,NULLVALUE,VISUALFORCE
000000000000000AAA,VISUALFORCE-OR,OR,VISUALFORCE
000000000000000AAA,VISUALFORCE-PI,PI,VISUALFORCE
000000000000000AAA,VISUALFORCE-REVERSE,REVERSE,VISUALFORCE
000000000000000AAA,VISUALFORCE-RIGHT,RIGHT,VISUALFORCE
000000000000000AAA,VISUALFORCE-ROUND,ROUND,VISUALFORCE
000000000000000AAA,VISUALFORCE-RPAD,RPAD,VISUALFORCE
000000000000000AAA,VISUALFORCE-SECOND,SECOND,VISUALFORCE
000000000000000AAA,VISUALFORCE-SIN,SIN,VISUALFORCE
000000000000000AAA,VISUALFORCE-SQRT,SQRT,VISUALFORCE
000000000000000AAA,VISUALFORCE-SUBSTITUTE,SUBSTITUTE,VISUALFORCE
000000000000000AAA,VISUALFORCE-TAN,TAN,VISUALFORCE
000000000000000AAA,VISUALFORCE-TEXT,TEXT,VISUALFORCE
000000000000000AAA,VISUALFORCE-TIMENOW,TIMENOW,VISUALFORCE
000000000000000AAA,VISUALFORCE-TIMEVALUE,TIMEVALUE,VISUALFORCE
000000000000000AAA,VISUALFORCE-TODAY,TODAY,VISUALFORCE
000000000000000AAA,VISUALFORCE-TRIM,TRIM,VISUALFORCE
000000000000000AAA,VISUALFORCE-TRUNC,TRUNC,VISUALFORCE
000000000000000AAA,VISUALFORCE-UNIXTIMESTAMP,UNIXTIMESTAMP,VISUALFORCE
000000000000000AAA,VISUALFORCE-UPPER,UPPER,VISUALFORCE
000000000000000AAA,VISUALFORCE-URLENCODE,URLENCODE,VISUALFORCE
000000000000000AAA,VISUALFORCE-URLFOR,URLFOR,VISUALFORCE
000000000000000AAA,VISUALFORCE-VALUE,VALUE,VISUALFORCE
000000000000000AAA,VISUALFORCE-WEEKDAY,WEEKDAY,VISUALFORCE
000000000000000AAA,VISUALFORCE-YEAR,YEAR,VISUALFORCE
000000000000000AAA,FLOW-ABS,ABS,FLOW
000000000000000AAA,FLOW-ACOS,ACOS,FLOW
000000000000000AAA,FLOW-ADDMONTHS,ADDMONTHS,FLOW
000000000000000AAA,FLOW-AND,AND,FLOW
000000000000000AAA,FLOW-ASCII,ASCII,FLOW
000000000000000AAA,FLOW-ASIN,ASIN,FLOW
000000000000000AAA,FLOW-ATAN,ATAN,FLOW
000000000000000AAA,FLOW-ATAN2,ATAN2,FLOW
000000000000000AAA,FLOW-BEGINS,BEGINS,FLOW
000000000000000AAA,FLOW-BLANKVALUE,BLANKVALUE,FLOW
000000000000000AAA,FLOW-BR,BR,FLOW
000000000000000AAA,FLOW-CASE,CASE,FLOW
000000000000000AAA,FLOW-CASESAFEID,CASESAFEID,FLOW
000000000000000AAA,FLOW-CEILING,CEILING,FLOW
000000000000000AAA,FLOW-CHR,CHR,FLOW
000000000000000AAA,FLOW-CONTAINS,CONTAINS,FLOW
000000000000000AAA,FLOW-COS,COS,FLOW
000000000000000AAA,FLOW-CURRENCYRATE,CURRENCYRATE,FLOW
000000000000000AAA,FLOW-DATE,DATE,FLOW
000000000000000AAA,FLOW-DATETIMEVALUE,DATETIMEVALUE,FLOW
000000000000000AAA,FLOW-DATEVALUE,DATEVALUE,FLOW
000000000000000AAA,FLOW-DAY,DAY,FLOW
000000000000000AAA,FLOW-DAYOFYEAR,DAYOFYEAR,FLOW
000000000000000AAA,FLOW-DISTANCE,DISTANCE,FLOW
000000000000000AAA,FLOW-EXP,EXP,FLOW
000000000000000AAA,FLOW-FIND,FIND,FLOW
000000000000000AAA,FLOW-FLOOR,FLOOR,FLOW
000000000000000AAA,FLOW-FORMATDURATION,FORMATDURATION,FLOW
000000000000000AAA,FLOW-FROMUNIXTIME,FROMUNIXTIME,FLOW
000000000000000AAA,FLOW-GEOLOCATION,GEOLOCATION,FLOW
000000000000000AAA,FLOW-GETSESSIONID,GETSESSIONID,FLOW
000000000000000AAA,FLOW-HTMLENCODE,HTMLENCODE,FLOW
000000000000000AAA,FLOW-HYPERLINK,HYPERLINK,FLOW
000000000000000AAA,FLOW-IF,IF,FLOW
000000000000000AAA,FLOW-INCLUDES,INCLUDES,FLOW
000000000000000AAA,FLOW-INITCAP,INITCAP,FLOW
000000000000000AAA,FLOW-ISBLANK,ISBLANK,FLOW
000000000000000AAA,FLOW-ISNULL,ISNULL,FLOW
000000000000000AAA,FLOW-ISNUMBER,ISNUMBER,FLOW
000000000000000AAA,FLOW-ISOWEEK,ISOWEEK,FLOW
000000000000000AAA,FLOW-ISOYEAR,ISOYEAR,FLOW
000000000000000AAA,FLOW-ISPICKVAL,ISPICKVAL,FLOW
000000000000000AAA,FLOW-JSENCODE,JSENCODE,FLOW
000000000000000AAA,FLOW-JSINHTMLENCODE,JSINHTMLENCODE,FLOW
000000000000000AAA,FLOW-LEFT,LEFT,FLOW
000000000000000AAA,FLOW-LEN,LEN,FLOW
000000000000000AAA,FLOW-LINKTO,LINKTO,FLOW
000000000000000AAA,FLOW-LN,LN,FLOW
000000000000000AAA,FLOW-LOG,LOG,FLOW
000000000000000AAA,FLOW-LOWER,LOWER,FLOW
000000000000000AAA,FLOW-LPAD,LPAD,FLOW
000000000000000AAA,FLOW-MAX,MAX,FLOW
000000000000000AAA,FLOW-MCEILING,MCEILING,FLOW
000000000000000AAA,FLOW-MFLOOR,MFLOOR,FLOW
000000000000000AAA,FLOW-MID,MID,FLOW
000000000000000AAA,FLOW-MIN,MIN,FLOW
000000000000000AAA,FLOW-MOD,MOD,FLOW
000000000000000AAA,FLOW-MONTH,MONTH,FLOW
000000000000000AAA,FLOW-NOT,NOT,FLOW
000000000000000AAA,FLOW-NOW,NOW,FLOW
000000000000000AAA,FLOW-NULLVALUE,NULLVALUE,FLOW
000000000000000AAA,FLOW-OR,OR,FLOW
000000000000000AAA,FLOW-PI,PI,FLOW
000000000000000AAA,FLOW-PICKLISTCOUNT,PICKLISTCOUNT,FLOW
000000000000000AAA,FLOW-PREDICT,PREDICT,FLOW
000000000000000AAA,FLOW-REGEX,REGEX,FLOW
000000000000000AAA,FLOW-REVERSE,REVERSE,FLOW
000000000000000AAA,FLOW-RIGHT,RIGHT,FLOW
000000000000000AAA,FLOW-ROUND,ROUND,FLOW
000000000000000AAA,FLOW-RPAD,RPAD,FLOW
000000000000000AAA,FLOW-SIN,SIN,FLOW
000000000000000AAA,FLOW-SQRT,SQRT,FLOW
000000000000000AAA,FLOW-SUBSTITUTE,SUBSTITUTE,FLOW
000000000000000AAA,FLOW-TAN,TAN,FLOW
000000000000000AAA,FLOW-TEXT,TEXT,FLOW
000000000000000AAA,FLOW-TODAY,TODAY,FLOW
000000000000000AAA,FLOW-TRIM,TRIM,FLOW
000000000000000AAA,FLOW-TRUNC,TRUNC,FLOW
000000000000000AAA,FLOW-UNIXTIMESTAMP,UNIXTIMESTAMP,FLOW
000000000000000AAA,FLOW-UPPER,UPPER,FLOW
000000000000000AAA,FLOW-URLENCODE,URLENCODE,FLOW
000000000000000AAA,FLOW-URLFOR,URLFOR,FLOW
000000000000000AAA,FLOW-VALUE,VALUE,FLOW
000000000000000AAA,FLOW-WEEKDAY,WEEKDAY,FLOW
000000000000000AAA,FLOW-YEAR,YEAR,FLOW
000000000000000AAA,CONVERSATION_MESSAGE-ABS,ABS,CONVERSATION_MESSAGE
000000000000000AAA,CONVERSATION_MESSAGE-ACOS,ACOS,CONVERSATION_MESSAGE
000000000000000AAA,CONVERSATION_MESSAGE-ADDMONTHS,ADDMONTHS,CONVERSATION_MESSAGE
000000000000000AAA,CONVERSATION_MESSAGE-AND,AND,CONVERSATION_MESSAGE
000000000000000AAA,CONVERSATION_MESSAGE-ASIN,ASIN,CONVERSATION_MESSAGE
000000000000000AAA,CONVERSATION_MESSAGE-ATAN,ATAN,CONVERSATION_MESSAGE
000000000000000AAA,CONVERSATION_MESSAGE-ATAN2,ATAN2,CONVERSATION_MESSAGE
000000000000000AAA,CONVERSATION_MESSAGE-BEGINS,BEGINS,CONVERSATION_MESSAGE
000000000000000AAA,CONVERSATION_MESSAGE-BLANKVALUE,BLANKVALUE,CONVERSATION_MESSAGE
000000000000000AAA,CONVERSATION_MESSAGE-BR,BR,CONVERSATION_MESSAGE
000000000000000AAA,CONVERSATION_MESSAGE-CASE,CASE,CONVERSATION_MESSAGE
000000000000000AAA,CONVERSATION_MESSAGE-CASESAFEID,CASESAFEID,CONVERSATION_MESSAGE
000000000000000AAA,CONVERSATION_MESSAGE-CEILING,CEILING,CONVERSATION_MESSAGE
000000000000000AAA,CONVERSATION_MESSAGE-CONTAINS,CONTAINS,CONVERSATION_MESSAGE
000000000000000AAA,CONVERSATION_MESSAGE-COS,COS,CONVERSATION_MESSAGE
000000000000000AAA,CONVERSATION_MESSAGE-CURRENCYRATE,CURRENCYRATE,CONVERSATION_MESSAGE
000000000000000AAA,CONVERSATION_MESSAGE-DATE,DATE,CONVERSATION_MESSAGE
000000000000000AAA,CONVERSATION_MESSAGE-DATETIMEVALUE,DATETIMEVALUE,CONVERSATION_MESSAGE
000000000000000AAA,CONVERSATION_MESSAGE-DATEVALUE,DATEVALUE,CONVERSATION_MESSAGE
000000000000000AAA,CONVERSATION_MESSAGE-DAY,DAY,CONVERSATION_MESSAGE
000000000000000AAA,CONVERSATION_MESSAGE-DISTANCE,DISTANCE,CONVERSATION_MESSAGE
000000000000000AAA,CONVERSATION_MESSAGE-EXP,EXP,CONVERSATION_MESSAGE
000000000000000AAA,CONVERSATION_MESSAGE-FIND,FIND,CONVERSATION_MESSAGE
000000000000000AAA,CONVERSATION_MESSAGE-FLOOR,FLOOR,CONVERSATION_MESSAGE
000000000000000AAA,CONVERSATION_MESSAGE-FORMATDURATION,FORMATDURATION,CONVERSATION_MESSAGE
000000000000000AAA,CONVERSATION_MESSAGE-GEOLOCATION,GEOLOCATION,CONVERSATION_MESSAGE
000000000000000AAA,CONVERSATION_MESSAGE-HOUR,HOUR,CONVERSATION_MESSAGE
000000000000000AAA,CONVERSATION_MESSAGE-IF,IF,CONVERSATION_MESSAGE
000000000000000AAA,CONVERSATION_MESSAGE-INCLUDES,INCLUDES,CONVERSATION_MESSAGE
000000000000000AAA,CONVERSATION_MESSAGE-ISBLANK,ISBLANK,CONVERSATION_MESSAGE
000000000000000AAA,CONVERSATION_MESSAGE-ISNULL,ISNULL,CONVERSATION_MESSAGE
000000000000000AAA,CONVERSATION_MESSAGE-ISNUMBER,ISNUMBER,CONVERSATION_MESSAGE
000000000000000AAA,CONVERSATION_MESSAGE-ISPICKVAL,ISPICKVAL,CONVERSATION_MESSAGE
000000000000000AAA,CONVERSATION_MESSAGE-LEFT,LEFT,CONVERSATION_MESSAGE
000000000000000AAA,CONVERSATION_MESSAGE-LEN,LEN,CONVERSATION_MESSAGE
000000000000000AAA,CONVERSATION_MESSAGE-LN,LN,CONVERSATION_MESSAGE
000000000000000AAA,CONVERSATION_MESSAGE-LOG,LOG,CONVERSATION_MESSAGE
000000000000000AAA,CONVERSATION_MESSAGE-LOWER,LOWER,CONVERSATION_MESSAGE
000000000000000AAA,CONVERSATION_MESSAGE-LPAD,LPAD,CONVERSATION_MESSAGE
000000000000000AAA,CONVERSATION_MESSAGE-MAX,MAX,CONVERSATION_MESSAGE
000000000000000AAA,CONVERSATION_MESSAGE-MCEILING,MCEILING,CONVERSATION_MESSAGE
000000000000000AAA,CONVERSATION_MESSAGE-MESSAGINGIMAGE,MESSAGINGIMAGE,CONVERSATION_MESSAGE
000000000000000AAA,CONVERSATION_MESSAGE-MFLOOR,MFLOOR,CONVERSATION_MESSAGE
000000000000000AAA,CONVERSATION_MESSAGE-MID,MID,CONVERSATION_MESSAGE
000000000000000AAA,CONVERSATION_MESSAGE-MILLISECOND,MILLISECOND,CONVERSATION_MESSAGE
000000000000000AAA,CONVERSATION_MESSAGE-MIN,MIN,CONVERSATION_MESSAGE
000000000000000AAA,CONVERSATION_MESSAGE-MINUTE,MINUTE,CONVERSATION_MESSAGE
000000000000000AAA,CONVERSATION_MESSAGE-MOD,MOD,CONVERSATION_MESSAGE
000000000000000AAA,CONVERSATION_MESSAGE-MONTH,MONTH,CONVERSATION_MESSAGE
000000000000000AAA,CONVERSATION_MESSAGE-NOT,NOT,CONVERSATION_MESSAGE
000000000000000AAA,CONVERSATION_MESSAGE-NOW,NOW,CONVERSATION_MESSAGE
000000000000000AAA,CONVERSATION_MESSAGE-NULLVALUE,NULLVALUE,CONVERSATION_MESSAGE
000000000000000AAA,CONVERSATION_MESSAGE-OR,OR,CONVERSATION_MESSAGE
000000000000000AAA,CONVERSATION_MESSAGE-PI,PI,CONVERSATION_MESSAGE
000000000000000AAA,CONVERSATION_MESSAGE-REVERSE,REVERSE,CONVERSATION_MESSAGE
000000000000000AAA,CONVERSATION_MESSAGE-RIGHT,RIGHT,CONVERSATION_MESSAGE
000000000000000AAA,CONVERSATION_MESSAGE-ROUND,ROUND,CONVERSATION_MESSAGE
