Id,DurableId,FunctionId,Type
000000000000000AAA,LOYALTYFORMULA-INCLUDES,INCLUDES,LOYALTYFORMULA
000000000000000AAA,LOYALTYFORMULA-ISNUMBER,ISNUMBER,LOYALTYFORMULA
000000000000000AAA,LOYALTYFORMULA-ISPICKVAL,ISPICKVAL,LOYALTYFORMULA
000000000000000AAA,LOYALTYFORMULA-LEFT,LEFT,LOYALTYFORMULA
000000000000000AAA,LOYALTYFORMULA-LEN,LEN,LOYALTYFORMULA
000000000000000AAA,LOYALTYFORMULA-LN,LN,LOYALTYFORMULA
000000000000000AAA,LOYALTYFORMULA-LOG,LOG,LOYALTYFORMULA
000000000000000AAA,LOYALTYFORMULA-LOWER,LOWER,LOYALTYFORMULA
000000000000000AAA,LOYALTYFORMULA-LPAD,LPAD,LOYALTYFORMULA
000000000000000AAA,LOYALTYFORMULA-MAX,MAX,LOYALTYFORMULA
000000000000000AAA,LOYALTYFORMULA-MCEILING,MCEILING,LOYALTYFORMULA
000000000000000AAA,LOYALTYFORMULA-MFLOOR,MFLOOR,LOYALTYFORMULA
000000000000000AAA,LOYALTYFORMULA-MID,MID,LOYALTYFORMULA
000000000000000AAA,LOYALTYFORMULA-MILLISECOND,MILLISECOND,LOYALTYFORMULA
000000000000000AAA,LOYALTYFORMULA-MIN,MIN,LOYALTYFORMULA
000000000000000AAA,LOYALTYFORMULA-MINUTE,MINUTE,LOYALTYFORMULA
000000000000000AAA,LOYALTYFORMULA-MOD,MOD,LOYALTYFORMULA
000000000000000AAA,LOYALTYFORMULA-MONTH,MONTH,LOYALTYFORMULA
000000000000000AAA,LOYALTYFORMULA-NOT,NOT,LOYALTYFORMULA
000000000000000AAA,LOYALTYFORMULA-NOW,NOW,LOYALTYFORMULA
000000000000000AAA,LOYALTYFORMULA-OR,OR,LOYALTYFORMULA
000000000000000AAA,LOYALTYFORMULA-PI,PI,LOYALTYFORMULA
000000000000000AAA,LOYALTYFORMULA-REGEX,REGEX,LOYALTYFORMULA
000000000000000AAA,LOYALTYFORMULA-REVERSE,REVERSE,LOYALTYFORMULA
000000000000000AAA,LOYALTYFORMULA-RIGHT,RIGHT,LOYALTYFORMULA
000000000000000AAA,LOYALTYFORMULA-ROUND,ROUND,LOYALTYFORMULA
000000000000000AAA,LOYALTYFORMULA-RPAD,RPAD,LOYALTYFORMULA
000000000000000AAA,LOYALTYFORMULA-SECOND,SECOND,LOYALTYFORMULA
000000000000000AAA,LOYALTYFORMULA-SIN,SIN,LOYALTYFORMULA
000000000000000AAA,LOYALTYFORMULA-SQRT,SQRT,LOYALTYFORMULA
000000000000000AAA,LOYALTYFORMULA-SUBSTITUTE,SUBSTITUTE,LOYALTYFORMULA
000000000000000AAA,LOYALTYFORMULA-TAN,TAN,LOYALTYFORMULA
000000000000000AAA,LOYALTYFORMULA-TEXT,TEXT,LOYALTYFORMULA
000000000000000AAA,LOYALTYFORMULA-TIMENOW,TIMENOW,LOYALTYFORMULA
000000000000000AAA,LOYALTYFORMULA-TIMEVALUE,TIMEVALUE,LOYALTYFORMULA
000000000000000AAA,LOYALTYFORMULA-TODAY,TODAY,LOYALTYFORMULA
000000000000000AAA,LOYALTYFORMULA-TRIM,TRIM,LOYALTYFORMULA
000000000000000AAA,LOYALTYFORMULA-TRUNC,TRUNC,LOYALTYFORMULA
000000000000000AAA,LOYALTYFORMULA-UPPER,UPPER,LOYALTYFORMULA
000000000000000AAA,LOYALTYFORMULA-VALUE,VALUE,LOYALTYFORMULA
000000000000000AAA,LOYALTYFORMULA-WEEKDAY,WEEKDAY,LOYALTYFORMULA
000000000000000AAA,LOYALTYFORMULA-YEAR,YEAR,LOYALTYFORMULA
