Id,Name,UserId,Type,IsActive,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp
023dM0000043Sv7QAE,,005dM000004WWvMQAW,User,True,2024-07-10T05:50:30Z,005dM000004WWvLQAW,2024-07-10T05:50:30Z,005dM000004WWvLQAW,2024-07-10T05:50:30Z
023dM0000043Sv8QAE,,005dM000004WWvNQAW,User,True,2024-07-10T05:50:30Z,005dM000004WE3FQAW,2024-07-10T05:50:30Z,005dM000004WE3FQAW,2024-07-10T05:50:30Z
023dM0000043Sv9QAE,,005dM000004WWvOQAW,User,True,2024-07-10T05:50:30Z,005dM000004WE3FQAW,2024-07-10T05:50:30Z,005dM000004WE3FQAW,2024-07-10T05:50:30Z
023dM0000043SvAQAU,,005dM000004WE3FQAW,User,True,2024-07-10T05:50:30Z,005dM000004WE3FQAW,2024-07-10T05:50:30Z,005dM000004WE3FQAW,2024-07-10T05:50:30Z
023dM0000043SvBQAU,,005dM000004WWvUQAW,User,True,2024-07-10T05:50:30Z,005dM000004WWvKQAW,2024-07-10T05:50:30Z,005dM000004WWvKQAW,2024-07-10T05:50:30Z
023dM0000043SvCQAU,,005dM000004WWvTQAW,User,True,2024-07-10T05:50:30Z,005dM000004WWvLQAW,2024-07-10T05:50:30Z,005dM000004WWvLQAW,2024-07-10T05:50:30Z
023dM0000043SvDQAU,,005dM000004WWvPQAW,User,True,2024-07-10T05:50:30Z,005dM000004WWvLQAW,2024-07-10T05:50:30Z,005dM000004WWvLQAW,2024-07-10T05:50:30Z
023dM0000043SvEQAU,,005dM000004WWvRQAW,User,True,2024-07-10T05:50:30Z,005dM000004WE3FQAW,2024-07-10T05:50:30Z,005dM000004WE3FQAW,2024-07-10T05:50:30Z
023dM0000043SvFQAU,,005dM000004WWvJQAW,User,True,2024-07-10T05:50:30Z,005dM000004WE3FQAW,2024-07-10T05:50:30Z,005dM000004WE3FQAW,2024-07-10T05:50:30Z
023dM0000043SvGQAU,,005dM000004WWvQQAW,User,True,2024-07-10T05:50:30Z,005dM000004WE3FQAW,2024-07-10T05:50:30Z,005dM000004WE3FQAW,2024-07-10T05:50:30Z
023dM0000043SvHQAU,,005dM000004WWvSQAW,User,True,2024-07-10T05:50:30Z,005dM000004WE3FQAW,2024-07-10T05:50:30Z,005dM000004WE3FQAW,2024-07-10T05:50:30Z
023dM0000043SvIQAU,,,Holiday,True,2024-07-10T05:50:30Z,005dM000004WE3FQAW,2024-07-10T05:50:30Z,005dM000004WE3FQAW,2024-07-10T05:50:30Z
023dM000004GLPaQAO,,005dM000004kj7uQAA,User,True,2024-07-12T10:43:48Z,005dM000004WE3FQAW,2024-07-12T10:43:48Z,005dM000004WE3FQAW,2024-07-12T10:43:48Z
023dM000004GT0XQAW,,005dM000004krDVQAY,User,True,2024-07-12T10:41:57Z,005dM000004WE3FQAW,2024-07-12T10:41:57Z,005dM000004WE3FQAW,2024-07-12T10:41:57Z
023dM000004GTerQAG,,005dM000004krrpQAA,User,True,2024-07-12T10:43:09Z,005dM000004WE3FQAW,2024-07-12T10:43:09Z,005dM000004WE3FQAW,2024-07-12T10:43:09Z
023dM000004ctSbQAI,,005dM000005AMdtQAG,User,True,2024-07-18T06:09:25Z,005dM000004WE3FQAW,2024-07-18T06:09:25Z,005dM000004WE3FQAW,2024-07-18T06:09:25Z
